cod_ibge,populacao_censo_2022,idosos_60mais,criancas_0_4,criancas_0_9,idosos_pct,criancas_0_4_pct,criancas_0_9_pct,rural_pct,area_km2,densidade,fonte_vulnerabilidade,atualizado_em
5101605,7253.0,1398.0,442.0,967.0,19.27,6.09,13.33,54.28,11377.3,0.64,IBGE_Censo_2022,2026-08-02
5101704,29403.0,3749.0,2122.0,4368.0,12.75,7.22,14.86,14.01,5992.6,4.91,IBGE_Censo_2022,2026-08-02
5101803,69210.0,9708.0,4914.0,9993.0,14.03,7.1,14.44,10.03,9079.0,7.62,IBGE_Censo_2022,2026-08-02
5101852,7280.0,725.0,608.0,1165.0,9.96,8.35,16.0,47.12,4274.2,1.7,IBGE_Censo_2022,2026-08-02
5101902,17004.0,1734.0,1599.0,3025.0,10.2,9.4,17.79,39.3,15959.1,1.07,IBGE_Censo_2022,2026-08-02
5102504,89681.0,12825.0,6611.0,13303.0,14.3,7.37,14.83,11.48,24351.4,3.68,IBGE_Censo_2022,2026-08-02
5102603,15347.0,1279.0,1982.0,3799.0,8.33,12.91,24.75,62.81,5835.5,2.63,IBGE_Censo_2022,2026-08-02
5102637,45899.0,2595.0,4067.0,8145.0,5.65,8.86,17.75,6.52,9434.4,4.87,IBGE_Censo_2022,2026-08-02
5102678,44585.0,4085.0,3533.0,7168.0,9.16,7.92,16.08,12.77,4782.1,9.32,IBGE_Censo_2022,2026-08-02
5102686,8822.0,554.0,834.0,1593.0,6.28,9.45,18.06,20.19,6801.9,1.3,IBGE_Censo_2022,2026-08-02
5102694,4485.0,610.0,402.0,746.0,13.6,8.96,16.63,37.97,3452.7,1.3,IBGE_Censo_2022,2026-08-02
5102702,25858.0,2636.0,2352.0,4610.0,10.19,9.1,17.83,21.75,10854.3,2.38,IBGE_Censo_2022,2026-08-02
5102793,10332.0,1826.0,718.0,1449.0,17.67,6.95,14.02,40.78,2156.7,4.79,IBGE_Censo_2022,2026-08-02
5102850,7506.0,1170.0,474.0,991.0,15.59,6.31,13.2,50.83,3703.7,2.03,IBGE_Censo_2022,2026-08-02
5103007,18990.0,3433.0,1296.0,2706.0,18.08,6.82,14.25,31.55,5983.6,3.17,IBGE_Censo_2022,2026-08-02
5103056,9593.0,1405.0,686.0,1435.0,14.65,7.15,14.96,25.76,3850.0,2.49,IBGE_Censo_2022,2026-08-02
5103106,6220.0,873.0,432.0,877.0,14.04,6.95,14.1,36.05,16530.6,0.38,IBGE_Censo_2022,2026-08-02
5103205,31370.0,4645.0,2179.0,4484.0,14.81,6.95,14.29,16.52,3093.6,10.14,IBGE_Censo_2022,2026-08-02
5103254,25766.0,2396.0,2154.0,4242.0,9.3,8.36,16.46,40.12,27924.5,0.92,IBGE_Censo_2022,2026-08-02
5103304,18238.0,2102.0,1575.0,3034.0,11.53,8.64,16.64,29.78,21774.2,0.84,IBGE_Censo_2022,2026-08-02
5103353,35075.0,3082.0,2994.0,5962.0,8.79,8.54,17.0,22.99,5801.4,6.05,IBGE_Censo_2022,2026-08-02
5103361,3760.0,471.0,337.0,635.0,12.53,8.96,16.89,34.68,2672.2,1.41,IBGE_Censo_2022,2026-08-02
5103379,11011.0,1169.0,853.0,1686.0,10.62,7.75,15.31,53.6,9460.5,1.16,IBGE_Censo_2022,2026-08-02
5103403,650877.0,85481.0,43647.0,90328.0,13.13,6.71,13.88,1.71,3362.8,193.55,IBGE_Censo_2022,2026-08-02
5103437,4903.0,863.0,299.0,637.0,17.6,6.1,12.99,37.12,359.8,13.63,IBGE_Censo_2022,2026-08-02
5103452,7014.0,851.0,537.0,1039.0,12.13,7.66,14.81,11.29,1307.2,5.37,IBGE_Censo_2022,2026-08-02
5103502,21941.0,2651.0,1775.0,3527.0,12.08,8.09,16.07,20.08,8230.0,2.67,IBGE_Censo_2022,2026-08-02
5103601,7872.0,1603.0,500.0,1044.0,20.36,6.35,13.26,20.62,2204.2,3.57,IBGE_Censo_2022,2026-08-02
5103700,10521.0,901.0,1105.0,2117.0,8.56,10.5,20.12,29.27,11462.4,0.92,IBGE_Censo_2022,2026-08-02
5103809,3187.0,604.0,214.0,414.0,18.95,6.71,12.99,38.75,899.4,3.54,IBGE_Censo_2022,2026-08-02
5103858,8642.0,720.0,850.0,1716.0,8.33,9.84,19.86,54.12,16930.7,0.51,IBGE_Censo_2022,2026-08-02
5103908,6037.0,802.0,584.0,1162.0,13.28,9.67,19.25,55.76,3794.9,1.59,IBGE_Censo_2022,2026-08-02
5103957,2905.0,607.0,177.0,369.0,20.9,6.09,12.7,30.22,853.8,3.4,IBGE_Censo_2022,2026-08-02
5104104,31024.0,3978.0,2394.0,4827.0,12.82,7.72,15.56,15.31,4735.3,6.55,IBGE_Censo_2022,2026-08-02
5104203,10966.0,2490.0,600.0,1245.0,22.71,5.47,11.35,17.16,5061.7,2.17,IBGE_Censo_2022,2026-08-02
5104500,2213.0,415.0,146.0,300.0,18.75,6.6,13.56,26.75,603.3,3.67,IBGE_Censo_2022,2026-08-02
5104526,7815.0,604.0,704.0,1368.0,7.73,9.01,17.5,25.0,3467.0,2.25,IBGE_Censo_2022,2026-08-02
5104542,7539.0,816.0,665.0,1266.0,10.82,8.82,16.79,38.32,2898.1,2.6,IBGE_Censo_2022,2026-08-02
5104559,5020.0,615.0,424.0,847.0,12.25,8.45,16.87,18.41,4528.4,1.11,IBGE_Censo_2022,2026-08-02
5104609,12236.0,1484.0,953.0,1976.0,12.13,7.79,16.15,30.46,8722.5,1.4,IBGE_Censo_2022,2026-08-02
5104807,28569.0,3981.0,2136.0,4249.0,13.93,7.48,14.87,9.01,1653.5,17.28,IBGE_Censo_2022,2026-08-02
5104906,7426.0,1272.0,512.0,1066.0,17.13,6.89,14.35,50.23,1253.8,5.92,IBGE_Censo_2022,2026-08-02
5105002,8367.0,1499.0,548.0,1136.0,17.92,6.55,13.58,33.55,1302.1,6.43,IBGE_Censo_2022,2026-08-02
5105101,34906.0,4249.0,2788.0,5529.0,12.17,7.99,15.84,19.61,22641.2,1.54,IBGE_Censo_2022,2026-08-02
5105150,45869.0,5799.0,3540.0,6972.0,12.64,7.72,15.2,19.7,26395.8,1.74,IBGE_Censo_2022,2026-08-02
5105176,10213.0,1164.0,810.0,1617.0,11.4,7.93,15.83,26.83,3222.7,3.17,IBGE_Censo_2022,2026-08-02
5105200,11480.0,2121.0,745.0,1580.0,18.48,6.49,13.76,31.59,2206.0,5.2,IBGE_Censo_2022,2026-08-02
5105234,4790.0,656.0,419.0,770.0,13.7,8.75,16.08,38.14,1763.9,2.72,IBGE_Censo_2022,2026-08-02
5105259,83798.0,5140.0,7070.0,14387.0,6.13,8.44,17.17,3.79,3664.0,22.87,IBGE_Censo_2022,2026-08-02
5105309,2509.0,354.0,221.0,411.0,14.11,8.81,16.38,25.91,4243.1,0.59,IBGE_Censo_2022,2026-08-02
5105507,16774.0,1772.0,1487.0,2967.0,10.56,8.86,17.69,61.88,13421.0,1.25,IBGE_Censo_2022,2026-08-02
5105580,11396.0,1356.0,943.0,1913.0,11.9,8.27,16.79,28.83,12281.2,0.93,IBGE_Censo_2022,2026-08-02
5105606,20091.0,2130.0,1725.0,3397.0,10.6,8.59,16.91,19.71,5238.8,3.84,IBGE_Censo_2022,2026-08-02
5105622,26785.0,3755.0,1877.0,3747.0,14.02,7.01,13.99,15.36,1076.4,24.88,IBGE_Censo_2022,2026-08-02
5105903,15492.0,2167.0,1233.0,2484.0,13.99,7.96,16.03,13.23,3892.1,3.98,IBGE_Censo_2022,2026-08-02
5106000,5956.0,995.0,417.0,837.0,16.71,7.0,14.05,15.8,1348.9,4.42,IBGE_Censo_2022,2026-08-02
5106109,12940.0,2715.0,799.0,1758.0,20.98,6.17,13.59,58.83,5540.7,2.34,IBGE_Censo_2022,2026-08-02
5106158,13635.0,1609.0,1051.0,2077.0,11.8,7.71,15.23,52.01,9606.3,1.42,IBGE_Censo_2022,2026-08-02
5106174,4200.0,419.0,511.0,969.0,9.98,12.17,23.07,64.48,4038.1,1.04,IBGE_Censo_2022,2026-08-02
5106182,6670.0,764.0,530.0,1099.0,11.45,7.95,16.48,48.71,4729.9,1.41,IBGE_Censo_2022,2026-08-02
5106190,4239.0,566.0,358.0,721.0,13.35,8.45,17.01,36.99,2205.1,1.92,IBGE_Censo_2022,2026-08-02
5106208,3932.0,751.0,244.0,501.0,19.1,6.21,12.74,28.76,3281.9,1.2,IBGE_Censo_2022,2026-08-02
5106216,11707.0,1722.0,880.0,1704.0,14.71,7.52,14.56,36.71,5966.2,1.96,IBGE_Censo_2022,2026-08-02
5106224,55839.0,3618.0,5004.0,9756.0,6.48,8.96,17.47,11.4,9556.0,5.84,IBGE_Censo_2022,2026-08-02
5106232,16352.0,1816.0,1256.0,2576.0,11.11,7.68,15.75,10.0,1549.8,10.55,IBGE_Censo_2022,2026-08-02
5106240,11530.0,899.0,1125.0,2150.0,7.8,9.76,18.65,31.21,12706.2,0.91,IBGE_Censo_2022,2026-08-02
5106257,24345.0,3450.0,1615.0,3265.0,14.17,6.63,13.41,17.73,5667.9,4.3,IBGE_Censo_2022,2026-08-02
5106265,6520.0,856.0,565.0,1114.0,13.13,8.67,17.09,59.36,5790.3,1.13,IBGE_Censo_2022,2026-08-02
5106273,3349.0,685.0,187.0,416.0,20.45,5.58,12.42,41.24,879.7,3.81,IBGE_Censo_2022,2026-08-02
5106281,6919.0,956.0,554.0,1074.0,13.82,8.01,15.52,39.54,5035.2,1.37,IBGE_Censo_2022,2026-08-02
5106299,11671.0,1715.0,852.0,1669.0,14.69,7.3,14.3,37.55,4796.0,2.43,IBGE_Censo_2022,2026-08-02
5106307,26423.0,2742.0,2269.0,4388.0,10.38,8.59,16.61,27.93,24166.1,1.09,IBGE_Censo_2022,2026-08-02
5106315,2015.0,286.0,150.0,294.0,14.19,7.44,14.59,32.56,4393.8,0.46,IBGE_Censo_2022,2026-08-02
5106372,18066.0,2571.0,1254.0,2619.0,14.23,6.94,14.5,22.94,4108.6,4.4,IBGE_Censo_2022,2026-08-02
5106422,32714.0,3669.0,2805.0,5595.0,11.22,8.57,17.1,19.31,14257.3,2.29,IBGE_Censo_2022,2026-08-02
5106455,3166.0,459.0,263.0,527.0,14.5,8.31,16.65,22.24,2455.4,1.29,IBGE_Censo_2022,2026-08-02
5106505,31217.0,4822.0,2234.0,4552.0,15.45,7.16,14.58,25.02,17271.0,1.81,IBGE_Censo_2022,2026-08-02
5106653,6932.0,966.0,476.0,935.0,13.94,6.87,13.49,14.9,2738.6,2.53,IBGE_Censo_2022,2026-08-02
5106703,2008.0,452.0,132.0,269.0,22.51,6.57,13.4,13.35,686.0,2.93,IBGE_Censo_2022,2026-08-02
5106752,52018.0,5475.0,4167.0,8197.0,10.53,8.01,15.76,13.88,8559.8,6.08,IBGE_Censo_2022,2026-08-02
5106778,12127.0,1508.0,1057.0,2087.0,12.44,8.72,17.21,30.41,3972.1,3.05,IBGE_Censo_2022,2026-08-02
5106802,5593.0,776.0,402.0,838.0,13.87,7.19,14.98,39.37,6993.8,0.8,IBGE_Censo_2022,2026-08-02
5106828,10204.0,1385.0,812.0,1583.0,13.57,7.96,15.51,47.74,5808.2,1.76,IBGE_Censo_2022,2026-08-02
5106851,3224.0,676.0,209.0,434.0,20.97,6.48,13.46,49.53,2062.8,1.56,IBGE_Censo_2022,2026-08-02
5107008,23283.0,4044.0,1808.0,3689.0,17.37,7.77,15.84,30.16,6910.1,3.37,IBGE_Censo_2022,2026-08-02
5107040,85146.0,6671.0,7060.0,13975.0,7.83,8.29,16.41,4.23,5471.7,15.56,IBGE_Censo_2022,2026-08-02
5107065,26769.0,1687.0,2510.0,4730.0,6.3,9.38,17.67,21.61,17786.2,1.51,IBGE_Censo_2022,2026-08-02
5107107,17849.0,3256.0,1111.0,2292.0,18.24,6.22,12.84,20.09,1289.1,13.85,IBGE_Censo_2022,2026-08-02
5107156,2122.0,322.0,156.0,294.0,15.17,7.35,13.85,27.9,1337.0,1.59,IBGE_Censo_2022,2026-08-02
5107180,10089.0,1272.0,837.0,1671.0,12.61,8.3,16.56,39.8,11354.8,0.89,IBGE_Censo_2022,2026-08-02
5107198,2593.0,403.0,182.0,390.0,15.54,7.02,15.04,17.35,625.6,4.14,IBGE_Censo_2022,2026-08-02
5107206,4535.0,784.0,334.0,631.0,17.29,7.36,13.91,16.69,562.8,8.06,IBGE_Censo_2022,2026-08-02
5107248,5374.0,608.0,489.0,941.0,11.31,9.1,17.51,19.89,3855.4,1.39,IBGE_Censo_2022,2026-08-02
5107263,2519.0,401.0,183.0,388.0,15.92,7.26,15.4,42.83,1174.2,2.15,IBGE_Censo_2022,2026-08-02
5107297,2875.0,752.0,140.0,295.0,26.16,4.87,10.26,52.52,443.9,6.48,IBGE_Censo_2022,2026-08-02
5107305,14911.0,1843.0,1156.0,2341.0,12.36,7.75,15.7,16.58,4536.2,3.29,IBGE_Censo_2022,2026-08-02
5107354,5964.0,442.0,604.0,1182.0,7.41,10.13,19.82,22.08,7459.6,0.8,IBGE_Censo_2022,2026-08-02
5107404,4191.0,590.0,298.0,660.0,14.08,7.11,15.75,13.62,343.0,12.22,IBGE_Censo_2022,2026-08-02
5107578,3505.0,361.0,335.0,676.0,10.3,9.56,19.29,70.07,12670.8,0.28,IBGE_Censo_2022,2026-08-02
5107602,244911.0,28819.0,18064.0,36652.0,11.77,7.38,14.97,3.44,4159.1,58.89,IBGE_Censo_2022,2026-08-02
5107701,15453.0,2995.0,1045.0,2124.0,19.38,6.76,13.74,36.28,7648.0,2.02,IBGE_Censo_2022,2026-08-02
5107743,2661.0,259.0,241.0,467.0,9.73,9.06,17.55,34.2,5651.7,0.47,IBGE_Censo_2022,2026-08-02
5107750,3679.0,651.0,233.0,483.0,17.7,6.33,13.13,43.82,1752.3,2.1,IBGE_Censo_2022,2026-08-02
5107768,3276.0,292.0,303.0,647.0,8.91,9.25,19.75,44.54,4728.2,0.69,IBGE_Censo_2022,2026-08-02
5107776,7596.0,908.0,732.0,1489.0,11.95,9.64,19.6,60.65,6467.4,1.17,IBGE_Censo_2022,2026-08-02
5107792,4099.0,297.0,430.0,849.0,7.25,10.49,20.71,37.81,3600.7,1.14,IBGE_Censo_2022,2026-08-02
5107800,15246.0,2529.0,1105.0,2359.0,16.59,7.25,15.47,40.88,11753.6,1.3,IBGE_Censo_2022,2026-08-02
5107859,13621.0,1664.0,1040.0,2083.0,12.22,7.64,15.29,41.11,16711.9,0.82,IBGE_Censo_2022,2026-08-02
5107875,28944.0,1305.0,2567.0,5058.0,4.51,8.87,17.48,12.0,13624.2,2.12,IBGE_Censo_2022,2026-08-02
5107883,1800.0,238.0,122.0,286.0,13.22,6.78,15.89,52.28,1500.4,1.2,IBGE_Censo_2022,2026-08-02
5107909,196312.0,17013.0,16004.0,31213.0,8.67,8.15,15.9,2.99,3942.2,49.8,IBGE_Censo_2022,2026-08-02
5107925,110635.0,8492.0,9882.0,19116.0,7.68,8.93,17.28,5.39,9329.6,11.86,IBGE_Censo_2022,2026-08-02
5107941,9818.0,1011.0,842.0,1730.0,10.3,8.58,17.62,48.93,8317.1,1.18,IBGE_Censo_2022,2026-08-02
5107958,106434.0,12292.0,8041.0,15677.0,11.55,7.55,14.73,7.98,11391.3,9.34,IBGE_Censo_2022,2026-08-02
5108006,14370.0,1256.0,1272.0,2479.0,8.74,8.85,17.25,22.51,4510.6,3.19,IBGE_Censo_2022,2026-08-02
5108055,10616.0,1829.0,817.0,1601.0,17.23,7.7,15.08,41.2,2717.0,3.91,IBGE_Censo_2022,2026-08-02
5108105,3025.0,632.0,202.0,431.0,20.89,6.68,14.25,26.61,4169.6,0.73,IBGE_Censo_2022,2026-08-02
5108204,4164.0,909.0,212.0,445.0,21.83,5.09,10.69,26.71,2399.5,1.74,IBGE_Censo_2022,2026-08-02
5108303,3838.0,406.0,344.0,664.0,10.58,8.96,17.3,20.69,4581.9,0.84,IBGE_Censo_2022,2026-08-02
5108352,2904.0,523.0,195.0,389.0,18.01,6.71,13.4,73.69,1932.8,1.5,IBGE_Censo_2022,2026-08-02
5108402,300078.0,33744.0,23069.0,47003.0,11.25,7.69,15.66,1.17,888.0,337.93,IBGE_Censo_2022,2026-08-02
5108501,12800.0,1407.0,1119.0,2218.0,10.99,8.74,17.33,17.44,2963.5,4.32,IBGE_Censo_2022,2026-08-02
5108600,19888.0,2115.0,1613.0,3156.0,10.63,8.11,15.87,28.11,7431.1,2.68,IBGE_Censo_2022,2026-08-02
5108808,4590.0,721.0,315.0,628.0,15.71,6.86,13.68,36.21,1114.1,4.12,IBGE_Censo_2022,2026-08-02
5108857,3529.0,423.0,282.0,583.0,11.99,7.99,16.52,29.61,1939.8,1.82,IBGE_Censo_2022,2026-08-02
5108907,5846.0,535.0,554.0,1039.0,9.15,9.48,17.77,36.78,11557.3,0.51,IBGE_Censo_2022,2026-08-02
5108956,8313.0,1077.0,667.0,1278.0,12.96,8.02,15.37,39.48,5248.5,1.58,IBGE_Censo_2022,2026-08-02
5101837,5877.0,753.0,454.0,914.0,12.82,7.72,15.56,27.93,,2.38,proxy_mediana_MT_sem_censo2022,2026-08-02
