data,cod_ibge,municipio,unidade,tipo_leito,leitos_total,leitos_ocupados,atendimentos_total,atendimentos_calor,desidratacao,insolacao,exaustao_calor
2026-05-03,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,14,8,217,3,1,1,1
2026-05-04,5103403,Cuiabá,UPA Cuiabá,observacao,20,13,222,3,3,1,1
2026-05-04,5103403,Cuiabá,UPA Cuiabá,clinico,52,33,299,5,4,0,0
2026-05-04,5103403,Cuiabá,UPA Cuiabá,uti_adulto,11,6,246,4,4,1,1
2026-05-04,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,23,16,112,1,0,0,1
2026-05-04,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,54,35,242,4,3,1,1
2026-05-04,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,14,8,158,2,0,0,1
2026-05-04,5103403,Cuiabá,Referência Regional Cuiabá,observacao,20,14,138,1,0,1,1
2026-05-04,5103403,Cuiabá,Referência Regional Cuiabá,clinico,54,40,235,4,4,0,1
2026-05-04,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,12,7,171,2,0,0,1
2026-05-05,5103403,Cuiabá,UPA Cuiabá,observacao,20,14,286,4,4,1,0
2026-05-05,5103403,Cuiabá,UPA Cuiabá,clinico,50,34,264,4,3,0,0
2026-05-05,5103403,Cuiabá,UPA Cuiabá,uti_adulto,13,9,266,3,3,1,1
2026-05-05,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,20,13,101,1,0,1,0
2026-05-05,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,51,31,204,3,1,0,1
2026-05-05,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,14,10,171,3,2,1,0
2026-05-05,5103403,Cuiabá,Referência Regional Cuiabá,observacao,24,17,114,2,2,0,1
2026-05-05,5103403,Cuiabá,Referência Regional Cuiabá,clinico,50,31,136,2,2,0,1
2026-05-05,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,14,9,220,3,3,1,1
2026-05-06,5103403,Cuiabá,UPA Cuiabá,observacao,23,14,195,4,2,0,1
2026-05-06,5103403,Cuiabá,UPA Cuiabá,clinico,50,34,312,4,3,0,0
2026-05-06,5103403,Cuiabá,UPA Cuiabá,uti_adulto,11,6,217,3,1,1,1
2026-05-06,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,20,13,171,3,2,1,1
2026-05-06,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,50,34,209,4,2,1,0
2026-05-06,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,11,6,92,2,0,1,0
2026-05-06,5103403,Cuiabá,Referência Regional Cuiabá,observacao,21,14,211,4,4,1,1
2026-05-06,5103403,Cuiabá,Referência Regional Cuiabá,clinico,50,33,202,3,1,0,0
2026-05-06,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,13,8,226,3,2,0,1
2026-05-07,5103403,Cuiabá,UPA Cuiabá,observacao,20,12,222,2,1,0,1
2026-05-07,5103403,Cuiabá,UPA Cuiabá,clinico,53,32,277,4,3,1,0
2026-05-07,5103403,Cuiabá,UPA Cuiabá,uti_adulto,12,7,167,3,2,1,0
2026-05-07,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,20,14,154,2,1,0,1
2026-05-07,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,50,31,118,1,1,0,1
2026-05-07,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,13,8,162,2,1,1,0
2026-05-07,5103403,Cuiabá,Referência Regional Cuiabá,observacao,23,15,195,2,0,0,0
2026-05-07,5103403,Cuiabá,Referência Regional Cuiabá,clinico,52,37,204,3,1,1,0
2026-05-07,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,13,9,224,4,3,1,1
2026-05-08,5103403,Cuiabá,UPA Cuiabá,observacao,22,15,283,4,3,0,0
2026-05-08,5103403,Cuiabá,UPA Cuiabá,clinico,54,35,246,3,1,1,1
2026-05-08,5103403,Cuiabá,UPA Cuiabá,uti_adulto,14,10,314,6,5,0,0
2026-05-08,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,24,17,180,3,2,0,1
2026-05-08,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,50,35,202,4,4,0,1
2026-05-08,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,13,8,198,3,2,1,1
2026-05-08,5103403,Cuiabá,Referência Regional Cuiabá,observacao,23,16,96,1,1,1,0
2026-05-08,5103403,Cuiabá,Referência Regional Cuiabá,clinico,50,33,114,2,0,0,1
2026-05-08,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,12,8,94,1,1,1,1
2026-05-09,5103403,Cuiabá,UPA Cuiabá,observacao,22,14,200,3,1,0,0
2026-05-09,5103403,Cuiabá,UPA Cuiabá,clinico,51,31,237,4,4,1,0
2026-05-09,5103403,Cuiabá,UPA Cuiabá,uti_adulto,12,8,202,3,1,0,1
2026-05-09,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,22,15,132,1,0,1,1
2026-05-09,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,52,34,171,2,1,1,0
2026-05-09,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,12,7,187,3,1,1,0
2026-05-09,5103403,Cuiabá,Referência Regional Cuiabá,observacao,23,14,101,2,0,1,1
2026-05-09,5103403,Cuiabá,Referência Regional Cuiabá,clinico,51,35,187,2,2,1,0
2026-05-09,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,11,8,99,1,0,0,1
2026-05-10,5103403,Cuiabá,UPA Cuiabá,observacao,21,12,213,3,2,0,0
2026-05-10,5103403,Cuiabá,UPA Cuiabá,clinico,51,36,233,4,3,0,1
2026-05-10,5103403,Cuiabá,UPA Cuiabá,uti_adulto,14,10,213,4,3,0,1
2026-05-10,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,20,12,149,3,1,1,1
2026-05-10,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,50,35,90,1,1,1,1
2026-05-10,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,13,8,191,2,2,1,0
2026-05-10,5103403,Cuiabá,Referência Regional Cuiabá,observacao,24,17,178,3,3,0,1
2026-05-10,5103403,Cuiabá,Referência Regional Cuiabá,clinico,52,36,118,1,1,1,1
2026-05-10,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,11,6,237,3,2,1,1
2026-05-11,5103403,Cuiabá,UPA Cuiabá,observacao,24,17,173,3,1,0,1
2026-05-11,5103403,Cuiabá,UPA Cuiabá,clinico,54,35,209,2,1,0,1
2026-05-11,5103403,Cuiabá,UPA Cuiabá,uti_adulto,14,10,233,3,1,1,1
2026-05-11,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,20,13,140,3,2,0,0
2026-05-11,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,54,40,101,2,2,0,0
2026-05-11,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,11,7,242,3,3,0,1
2026-05-11,5103403,Cuiabá,Referência Regional Cuiabá,observacao,21,15,88,1,1,0,1
2026-05-11,5103403,Cuiabá,Referência Regional Cuiabá,clinico,51,31,94,1,0,0,1
2026-05-11,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,11,6,101,1,0,0,0
2026-05-12,5103403,Cuiabá,UPA Cuiabá,observacao,23,15,233,3,3,1,0
2026-05-12,5103403,Cuiabá,UPA Cuiabá,clinico,54,32,316,5,4,0,0
2026-05-12,5103403,Cuiabá,UPA Cuiabá,uti_adulto,14,10,250,4,3,1,0
2026-05-12,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,20,12,127,1,0,1,1
2026-05-12,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,54,36,215,3,2,0,0
2026-05-12,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,15,10,147,2,2,1,1
2026-05-12,5103403,Cuiabá,Referência Regional Cuiabá,observacao,23,15,114,1,0,1,1
2026-05-12,5103403,Cuiabá,Referência Regional Cuiabá,clinico,51,35,220,2,2,0,1
2026-05-12,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,11,7,191,3,1,0,1
2026-05-13,5103403,Cuiabá,UPA Cuiabá,observacao,20,13,319,6,5,0,1
2026-05-13,5103403,Cuiabá,UPA Cuiabá,clinico,54,34,160,2,2,0,1
2026-05-13,5103403,Cuiabá,UPA Cuiabá,uti_adulto,12,8,228,4,3,0,1
2026-05-13,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,24,15,206,4,2,0,1
2026-05-13,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,50,31,173,3,2,0,0
2026-05-13,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,12,8,200,2,0,0,0
2026-05-13,5103403,Cuiabá,Referência Regional Cuiabá,observacao,24,15,204,3,3,1,1
2026-05-13,5103403,Cuiabá,Referência Regional Cuiabá,clinico,52,37,110,2,2,0,0
2026-05-13,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,11,7,206,3,2,1,1
2026-05-14,5103403,Cuiabá,UPA Cuiabá,observacao,21,14,162,2,2,1,1
2026-05-14,5103403,Cuiabá,UPA Cuiabá,clinico,54,37,143,2,0,0,0
2026-05-14,5103403,Cuiabá,UPA Cuiabá,uti_adulto,12,7,191,3,2,1,1
2026-05-14,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,20,12,209,2,1,0,1
2026-05-14,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,50,32,99,1,0,0,1
2026-05-14,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,15,9,200,3,2,1,0
2026-05-14,5103403,Cuiabá,Referência Regional Cuiabá,observacao,23,13,178,2,0,1,1
2026-05-14,5103403,Cuiabá,Referência Regional Cuiabá,clinico,50,33,116,1,0,1,0
2026-05-14,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,14,10,182,2,2,0,0
2026-05-15,5103403,Cuiabá,UPA Cuiabá,observacao,24,16,228,3,1,0,0
2026-05-15,5103403,Cuiabá,UPA Cuiabá,clinico,50,31,187,2,2,0,0
2026-05-15,5103403,Cuiabá,UPA Cuiabá,uti_adulto,14,9,290,5,4,1,1
2026-05-15,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,21,13,220,3,2,1,0
2026-05-15,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,52,35,173,2,2,0,1
2026-05-15,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,13,7,112,2,0,1,1
2026-05-15,5103403,Cuiabá,Referência Regional Cuiabá,observacao,24,16,99,1,0,0,1
2026-05-15,5103403,Cuiabá,Referência Regional Cuiabá,clinico,54,36,129,2,1,0,1
2026-05-15,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,11,7,136,1,0,1,1
2026-05-16,5103403,Cuiabá,UPA Cuiabá,observacao,24,16,176,2,1,1,1
2026-05-16,5103403,Cuiabá,UPA Cuiabá,clinico,52,36,145,2,0,1,0
2026-05-16,5103403,Cuiabá,UPA Cuiabá,uti_adulto,13,7,321,5,4,0,1
2026-05-16,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,20,13,127,2,1,1,0
2026-05-16,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,54,38,110,1,0,1,0
2026-05-16,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,15,9,206,3,3,1,1
2026-05-16,5103403,Cuiabá,Referência Regional Cuiabá,observacao,21,15,182,3,2,0,0
2026-05-16,5103403,Cuiabá,Referência Regional Cuiabá,clinico,51,31,169,3,3,0,1
2026-05-16,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,15,9,193,2,2,0,1
2026-05-17,5103403,Cuiabá,UPA Cuiabá,observacao,20,13,321,6,5,1,1
2026-05-17,5103403,Cuiabá,UPA Cuiabá,clinico,51,34,217,4,3,0,1
2026-05-17,5103403,Cuiabá,UPA Cuiabá,uti_adulto,15,11,261,5,4,1,0
2026-05-17,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,21,15,125,2,2,1,1
2026-05-17,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,54,39,233,4,3,0,0
2026-05-17,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,13,8,231,3,2,0,0
2026-05-17,5103403,Cuiabá,Referência Regional Cuiabá,observacao,23,16,94,1,0,1,0
2026-05-17,5103403,Cuiabá,Referência Regional Cuiabá,clinico,53,39,191,2,1,0,1
2026-05-17,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,12,7,167,3,2,0,1
2026-05-18,5103403,Cuiabá,UPA Cuiabá,observacao,23,15,154,1,1,0,1
2026-05-18,5103403,Cuiabá,UPA Cuiabá,clinico,50,35,198,2,2,0,1
2026-05-18,5103403,Cuiabá,UPA Cuiabá,uti_adulto,15,10,162,3,2,0,0
2026-05-18,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,21,13,88,1,1,1,0
2026-05-18,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,50,33,189,2,0,0,1
2026-05-18,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,14,8,195,4,3,0,1
2026-05-18,5103403,Cuiabá,Referência Regional Cuiabá,observacao,20,13,116,2,0,1,0
2026-05-18,5103403,Cuiabá,Referência Regional Cuiabá,clinico,50,32,182,3,3,1,1
2026-05-18,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,12,8,105,2,1,0,1
2026-05-19,5103403,Cuiabá,UPA Cuiabá,observacao,21,12,187,3,2,1,1
2026-05-19,5103403,Cuiabá,UPA Cuiabá,clinico,54,36,140,2,2,1,1
2026-05-19,5103403,Cuiabá,UPA Cuiabá,uti_adulto,11,8,224,3,2,1,1
2026-05-19,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,23,16,195,3,3,1,1
2026-05-19,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,52,38,233,3,3,1,0
2026-05-19,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,14,9,138,2,1,0,0
2026-05-19,5103403,Cuiabá,Referência Regional Cuiabá,observacao,22,15,173,2,0,1,0
2026-05-19,5103403,Cuiabá,Referência Regional Cuiabá,clinico,53,34,99,1,0,1,1
2026-05-19,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,11,6,200,3,1,0,0
2026-05-20,5103403,Cuiabá,UPA Cuiabá,observacao,21,15,321,6,6,0,0
2026-05-20,5103403,Cuiabá,UPA Cuiabá,clinico,51,36,233,3,1,0,0
2026-05-20,5103403,Cuiabá,UPA Cuiabá,uti_adulto,14,10,235,3,3,0,1
2026-05-20,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,23,14,165,2,2,0,0
2026-05-20,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,53,35,121,1,0,1,0
2026-05-20,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,15,9,224,3,3,0,1
2026-05-20,5103403,Cuiabá,Referência Regional Cuiabá,observacao,21,15,211,4,2,1,1
2026-05-20,5103403,Cuiabá,Referência Regional Cuiabá,clinico,50,34,169,3,3,0,1
2026-05-20,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,15,9,143,2,2,1,0
2026-05-21,5103403,Cuiabá,UPA Cuiabá,observacao,22,15,235,3,1,0,0
2026-05-21,5103403,Cuiabá,UPA Cuiabá,clinico,50,32,266,4,3,0,0
2026-05-21,5103403,Cuiabá,UPA Cuiabá,uti_adulto,13,9,257,4,2,1,0
2026-05-21,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,24,16,138,2,2,1,0
2026-05-21,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,50,33,171,2,1,0,1
2026-05-21,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,15,11,110,1,0,1,0
2026-05-21,5103403,Cuiabá,Referência Regional Cuiabá,observacao,22,15,112,1,1,0,0
2026-05-21,5103403,Cuiabá,Referência Regional Cuiabá,clinico,54,38,182,3,1,0,0
2026-05-21,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,11,6,160,2,0,1,0
2026-05-22,5103403,Cuiabá,UPA Cuiabá,observacao,23,16,283,4,3,1,0
2026-05-22,5103403,Cuiabá,UPA Cuiabá,clinico,53,34,151,2,2,1,1
2026-05-22,5103403,Cuiabá,UPA Cuiabá,uti_adulto,14,9,226,4,3,1,1
2026-05-22,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,23,14,191,3,3,1,0
2026-05-22,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,53,32,213,3,3,0,1
2026-05-22,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,14,10,204,2,2,1,1
2026-05-22,5103403,Cuiabá,Referência Regional Cuiabá,observacao,21,15,226,4,3,1,1
2026-05-22,5103403,Cuiabá,Referência Regional Cuiabá,clinico,53,31,198,3,3,0,1
2026-05-22,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,11,6,226,4,2,1,1
2026-05-23,5103403,Cuiabá,UPA Cuiabá,observacao,24,14,160,2,1,1,1
2026-05-23,5103403,Cuiabá,UPA Cuiabá,clinico,52,31,145,2,2,1,1
2026-05-23,5103403,Cuiabá,UPA Cuiabá,uti_adulto,11,7,257,5,4,0,0
2026-05-23,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,20,13,182,3,2,0,0
2026-05-23,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,54,36,228,2,2,0,1
2026-05-23,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,14,9,129,2,0,0,1
2026-05-23,5103403,Cuiabá,Referência Regional Cuiabá,observacao,24,15,198,4,2,1,1
2026-05-23,5103403,Cuiabá,Referência Regional Cuiabá,clinico,54,39,237,4,2,1,1
2026-05-23,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,11,7,118,2,0,1,0
2026-05-24,5103403,Cuiabá,UPA Cuiabá,observacao,24,16,314,6,4,0,0
2026-05-24,5103403,Cuiabá,UPA Cuiabá,clinico,54,36,279,5,3,1,0
2026-05-24,5103403,Cuiabá,UPA Cuiabá,uti_adulto,12,7,327,4,4,1,1
2026-05-24,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,23,14,145,2,0,1,0
2026-05-24,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,51,34,178,3,2,1,1
2026-05-24,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,12,8,237,3,2,1,1
2026-05-24,5103403,Cuiabá,Referência Regional Cuiabá,observacao,21,15,165,2,2,1,1
2026-05-24,5103403,Cuiabá,Referência Regional Cuiabá,clinico,51,35,224,3,2,1,1
2026-05-24,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,11,7,239,3,2,1,0
2026-05-25,5103403,Cuiabá,UPA Cuiabá,observacao,22,13,154,2,1,1,1
2026-05-25,5103403,Cuiabá,UPA Cuiabá,clinico,51,32,281,4,2,1,0
2026-05-25,5103403,Cuiabá,UPA Cuiabá,uti_adulto,11,7,297,4,4,0,0
2026-05-25,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,20,12,180,3,3,0,0
2026-05-25,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,54,40,132,2,1,1,0
2026-05-25,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,13,8,103,2,2,0,0
2026-05-25,5103403,Cuiabá,Referência Regional Cuiabá,observacao,21,13,136,2,2,1,1
2026-05-25,5103403,Cuiabá,Referência Regional Cuiabá,clinico,51,37,169,3,3,1,0
2026-05-25,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,13,8,239,4,4,1,1
2026-05-26,5103403,Cuiabá,UPA Cuiabá,observacao,21,15,224,3,2,1,0
2026-05-26,5103403,Cuiabá,UPA Cuiabá,clinico,50,35,213,3,3,0,1
2026-05-26,5103403,Cuiabá,UPA Cuiabá,uti_adulto,14,9,156,2,2,0,0
2026-05-26,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,23,14,156,1,0,0,1
2026-05-26,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,52,38,171,3,1,0,1
2026-05-26,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,13,9,103,1,0,1,0
2026-05-26,5103403,Cuiabá,Referência Regional Cuiabá,observacao,23,16,173,3,1,1,1
2026-05-26,5103403,Cuiabá,Referência Regional Cuiabá,clinico,54,34,125,2,1,1,1
2026-05-26,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,15,11,237,4,4,0,0
2026-05-27,5103403,Cuiabá,UPA Cuiabá,observacao,24,16,330,5,3,0,0
2026-05-27,5103403,Cuiabá,UPA Cuiabá,clinico,54,39,187,3,3,0,1
2026-05-27,5103403,Cuiabá,UPA Cuiabá,uti_adulto,15,9,323,4,2,1,0
2026-05-27,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,24,16,103,1,0,1,1
2026-05-27,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,54,32,217,4,3,0,1
2026-05-27,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,13,9,147,2,2,1,1
2026-05-27,5103403,Cuiabá,Referência Regional Cuiabá,observacao,20,13,103,2,2,1,0
2026-05-27,5103403,Cuiabá,Referência Regional Cuiabá,clinico,52,34,125,2,0,1,1
2026-05-27,5103403,Cuiabá,Referência Regional Cuiabá,uti_adulto,14,9,193,3,1,0,1
2026-05-28,5103403,Cuiabá,UPA Cuiabá,observacao,20,12,281,4,4,0,0
2026-05-28,5103403,Cuiabá,UPA Cuiabá,clinico,50,37,261,4,2,1,1
2026-05-28,5103403,Cuiabá,UPA Cuiabá,uti_adulto,12,7,228,3,3,0,0
2026-05-28,5103403,Cuiabá,Hospital Municipal Cuiabá,observacao,23,15,92,1,1,0,0
2026-05-28,5103403,Cuiabá,Hospital Municipal Cuiabá,clinico,53,36,101,1,1,1,1
2026-05-28,5103403,Cuiabá,Hospital Municipal Cuiabá,uti_adulto,12,8,103,1,0,0,1
2026-05-28,5103403,Cuiabá,Referência Regional Cuiabá,observacao,24,16,178,2,2,0,1
2026-05-28,5103403,Cuiabá,Referência Regional Cuiabá,clinico,52,33,136,2,1,1,0
