data,cod_ibge,municipio,grupo,cadastrados,contatados
2026-05-06,5103403,Cuiabá,acamados,2075,446
2026-05-06,5103403,Cuiabá,gestantes_risco,1383,312
2026-05-06,5103403,Cuiabá,pop_rua,420,88
2026-05-07,5103403,Cuiabá,idosos_sozinhos,8302,1619
2026-05-07,5103403,Cuiabá,acamados,2075,404
2026-05-07,5103403,Cuiabá,gestantes_risco,1383,272
2026-05-07,5103403,Cuiabá,pop_rua,420,90
2026-05-08,5103403,Cuiabá,idosos_sozinhos,8302,1860
2026-05-08,5103403,Cuiabá,acamados,2075,430
2026-05-08,5103403,Cuiabá,gestantes_risco,1383,262
2026-05-08,5103403,Cuiabá,pop_rua,420,94
2026-05-09,5103403,Cuiabá,idosos_sozinhos,8302,1576
2026-05-09,5103403,Cuiabá,acamados,2075,399
2026-05-09,5103403,Cuiabá,gestantes_risco,1383,316
2026-05-09,5103403,Cuiabá,pop_rua,420,96
2026-05-10,5103403,Cuiabá,idosos_sozinhos,8302,1744
2026-05-10,5103403,Cuiabá,acamados,2075,375
2026-05-10,5103403,Cuiabá,gestantes_risco,1383,257
2026-05-10,5103403,Cuiabá,pop_rua,420,81
2026-05-11,5103403,Cuiabá,idosos_sozinhos,8302,1746
2026-05-11,5103403,Cuiabá,acamados,2075,414
2026-05-11,5103403,Cuiabá,gestantes_risco,1383,251
2026-05-11,5103403,Cuiabá,pop_rua,420,88
2026-05-12,5103403,Cuiabá,idosos_sozinhos,8302,1662
2026-05-12,5103403,Cuiabá,acamados,2075,407
2026-05-12,5103403,Cuiabá,gestantes_risco,1383,264
2026-05-12,5103403,Cuiabá,pop_rua,420,90
2026-05-13,5103403,Cuiabá,idosos_sozinhos,8302,1788
2026-05-13,5103403,Cuiabá,acamados,2075,396
2026-05-13,5103403,Cuiabá,gestantes_risco,1383,254
2026-05-13,5103403,Cuiabá,pop_rua,420,89
2026-05-14,5103403,Cuiabá,idosos_sozinhos,8302,1577
2026-05-14,5103403,Cuiabá,acamados,2075,423
2026-05-14,5103403,Cuiabá,gestantes_risco,1383,281
2026-05-14,5103403,Cuiabá,pop_rua,420,88
2026-05-15,5103403,Cuiabá,idosos_sozinhos,8302,1905
2026-05-15,5103403,Cuiabá,acamados,2075,437
2026-05-15,5103403,Cuiabá,gestantes_risco,1383,303
2026-05-15,5103403,Cuiabá,pop_rua,420,90
2026-05-16,5103403,Cuiabá,idosos_sozinhos,8302,1783
2026-05-16,5103403,Cuiabá,acamados,2075,427
2026-05-16,5103403,Cuiabá,gestantes_risco,1383,314
2026-05-16,5103403,Cuiabá,pop_rua,420,77
2026-05-17,5103403,Cuiabá,idosos_sozinhos,8302,1520
2026-05-17,5103403,Cuiabá,acamados,2075,447
2026-05-17,5103403,Cuiabá,gestantes_risco,1383,293
2026-05-17,5103403,Cuiabá,pop_rua,420,80
2026-05-18,5103403,Cuiabá,idosos_sozinhos,8302,1893
2026-05-18,5103403,Cuiabá,acamados,2075,469
2026-05-18,5103403,Cuiabá,gestantes_risco,1383,268
2026-05-18,5103403,Cuiabá,pop_rua,420,82
2026-05-19,5103403,Cuiabá,idosos_sozinhos,8302,1568
2026-05-19,5103403,Cuiabá,acamados,2075,428
2026-05-19,5103403,Cuiabá,gestantes_risco,1383,290
2026-05-19,5103403,Cuiabá,pop_rua,420,89
2026-05-20,5103403,Cuiabá,idosos_sozinhos,8302,1598
2026-05-20,5103403,Cuiabá,acamados,2075,401
2026-05-20,5103403,Cuiabá,gestantes_risco,1383,254
2026-05-20,5103403,Cuiabá,pop_rua,420,79
2026-05-21,5103403,Cuiabá,idosos_sozinhos,8302,1817
2026-05-21,5103403,Cuiabá,acamados,2075,431
2026-05-21,5103403,Cuiabá,gestantes_risco,1383,256
2026-05-21,5103403,Cuiabá,pop_rua,420,89
2026-05-22,5103403,Cuiabá,idosos_sozinhos,8302,1806
2026-05-22,5103403,Cuiabá,acamados,2075,447
2026-05-22,5103403,Cuiabá,gestantes_risco,1383,258
2026-05-22,5103403,Cuiabá,pop_rua,420,82
2026-05-23,5103403,Cuiabá,idosos_sozinhos,8302,1684
2026-05-23,5103403,Cuiabá,acamados,2075,468
2026-05-23,5103403,Cuiabá,gestantes_risco,1383,264
2026-05-23,5103403,Cuiabá,pop_rua,420,93
2026-05-24,5103403,Cuiabá,idosos_sozinhos,8302,1513
2026-05-24,5103403,Cuiabá,acamados,2075,394
2026-05-24,5103403,Cuiabá,gestantes_risco,1383,273
2026-05-24,5103403,Cuiabá,pop_rua,420,89
2026-05-25,5103403,Cuiabá,idosos_sozinhos,8302,1764
2026-05-25,5103403,Cuiabá,acamados,2075,456
2026-05-25,5103403,Cuiabá,gestantes_risco,1383,279
2026-05-25,5103403,Cuiabá,pop_rua,420,84
2026-05-26,5103403,Cuiabá,idosos_sozinhos,8302,1679
2026-05-26,5103403,Cuiabá,acamados,2075,408
2026-05-26,5103403,Cuiabá,gestantes_risco,1383,248
2026-05-26,5103403,Cuiabá,pop_rua,420,91
2026-05-27,5103403,Cuiabá,idosos_sozinhos,8302,1573
2026-05-27,5103403,Cuiabá,acamados,2075,451
2026-05-27,5103403,Cuiabá,gestantes_risco,1383,282
2026-05-27,5103403,Cuiabá,pop_rua,420,94
2026-05-28,5103403,Cuiabá,idosos_sozinhos,8302,1758
2026-05-28,5103403,Cuiabá,acamados,2075,466
2026-05-28,5103403,Cuiabá,gestantes_risco,1383,275
2026-05-28,5103403,Cuiabá,pop_rua,420,76
2026-05-29,5103403,Cuiabá,idosos_sozinhos,8302,1585
2026-05-29,5103403,Cuiabá,acamados,2075,462
2026-05-29,5103403,Cuiabá,gestantes_risco,1383,263
2026-05-29,5103403,Cuiabá,pop_rua,420,96
2026-05-30,5103403,Cuiabá,idosos_sozinhos,8302,1522
2026-05-30,5103403,Cuiabá,acamados,2075,392
2026-05-30,5103403,Cuiabá,gestantes_risco,1383,266
2026-05-30,5103403,Cuiabá,pop_rua,420,81
2026-05-31,5103403,Cuiabá,idosos_sozinhos,8302,1907
2026-05-31,5103403,Cuiabá,acamados,2075,452
2026-05-31,5103403,Cuiabá,gestantes_risco,1383,255
2026-05-31,5103403,Cuiabá,pop_rua,420,84
2026-06-01,5103403,Cuiabá,idosos_sozinhos,8302,1587
2026-06-01,5103403,Cuiabá,acamados,2075,437
2026-06-01,5103403,Cuiabá,gestantes_risco,1383,279
2026-06-01,5103403,Cuiabá,pop_rua,420,90
2026-06-02,5103403,Cuiabá,idosos_sozinhos,8302,1760
2026-06-02,5103403,Cuiabá,acamados,2075,426
2026-06-02,5103403,Cuiabá,gestantes_risco,1383,302
2026-06-02,5103403,Cuiabá,pop_rua,420,92
2026-06-03,5103403,Cuiabá,idosos_sozinhos,8302,1559
2026-06-03,5103403,Cuiabá,acamados,2075,446
2026-06-03,5103403,Cuiabá,gestantes_risco,1383,294
2026-06-03,5103403,Cuiabá,pop_rua,420,84
2026-06-04,5103403,Cuiabá,idosos_sozinhos,8302,1720
2026-06-04,5103403,Cuiabá,acamados,2075,381
2026-06-04,5103403,Cuiabá,gestantes_risco,1383,285
2026-06-04,5103403,Cuiabá,pop_rua,420,90
2026-06-05,5103403,Cuiabá,idosos_sozinhos,8302,1777
2026-06-05,5103403,Cuiabá,acamados,2075,450
2026-06-05,5103403,Cuiabá,gestantes_risco,1383,281
2026-06-05,5103403,Cuiabá,pop_rua,420,76
2026-06-06,5103403,Cuiabá,idosos_sozinhos,8302,1654
2026-06-06,5103403,Cuiabá,acamados,2075,400
2026-06-06,5103403,Cuiabá,gestantes_risco,1383,312
2026-06-06,5103403,Cuiabá,pop_rua,420,76
2026-06-07,5103403,Cuiabá,idosos_sozinhos,8302,1698
2026-06-07,5103403,Cuiabá,acamados,2075,399
2026-06-07,5103403,Cuiabá,gestantes_risco,1383,254
2026-06-07,5103403,Cuiabá,pop_rua,420,83
2026-06-08,5103403,Cuiabá,idosos_sozinhos,8302,1505
2026-06-08,5103403,Cuiabá,acamados,2075,448
2026-06-08,5103403,Cuiabá,gestantes_risco,1383,253
2026-06-08,5103403,Cuiabá,pop_rua,420,90
2026-06-09,5103403,Cuiabá,idosos_sozinhos,8302,1558
2026-06-09,5103403,Cuiabá,acamados,2075,416
2026-06-09,5103403,Cuiabá,gestantes_risco,1383,284
2026-06-09,5103403,Cuiabá,pop_rua,420,79
2026-06-10,5103403,Cuiabá,idosos_sozinhos,8302,2469
2026-06-10,5103403,Cuiabá,acamados,2075,563
2026-06-10,5103403,Cuiabá,gestantes_risco,1383,394
2026-06-10,5103403,Cuiabá,pop_rua,420,126
2026-06-11,5103403,Cuiabá,idosos_sozinhos,8302,3083
2026-06-11,5103403,Cuiabá,acamados,2075,731
2026-06-11,5103403,Cuiabá,gestantes_risco,1383,473
2026-06-11,5103403,Cuiabá,pop_rua,420,155
2026-06-12,5103403,Cuiabá,idosos_sozinhos,8302,3593
2026-06-12,5103403,Cuiabá,acamados,2075,889
2026-06-12,5103403,Cuiabá,gestantes_risco,1383,586
2026-06-12,5103403,Cuiabá,pop_rua,420,175
2026-06-13,5103403,Cuiabá,idosos_sozinhos,8302,4040
2026-06-13,5103403,Cuiabá,acamados,2075,1026
2026-06-13,5103403,Cuiabá,gestantes_risco,1383,732
2026-06-13,5103403,Cuiabá,pop_rua,420,217
2026-06-14,5103403,Cuiabá,idosos_sozinhos,8302,4725
2026-06-14,5103403,Cuiabá,acamados,2075,1163
2026-06-14,5103403,Cuiabá,gestantes_risco,1383,780
2026-06-14,5103403,Cuiabá,pop_rua,420,238
2026-06-15,5103403,Cuiabá,idosos_sozinhos,8302,5594
2026-06-15,5103403,Cuiabá,acamados,2075,1388
2026-06-15,5103403,Cuiabá,gestantes_risco,1383,908
2026-06-15,5103403,Cuiabá,pop_rua,420,281
2026-06-16,5103403,Cuiabá,idosos_sozinhos,8302,6026
2026-06-16,5103403,Cuiabá,acamados,2075,1499
2026-06-16,5103403,Cuiabá,gestantes_risco,1383,1031
2026-06-16,5103403,Cuiabá,pop_rua,420,312
2026-06-17,5103403,Cuiabá,idosos_sozinhos,8302,6875
2026-06-17,5103403,Cuiabá,acamados,2075,1637
2026-06-17,5103403,Cuiabá,gestantes_risco,1383,1094
2026-06-17,5103403,Cuiabá,pop_rua,420,341
2026-06-18,5103403,Cuiabá,idosos_sozinhos,8302,7296
2026-06-18,5103403,Cuiabá,acamados,2075,1814
2026-06-18,5103403,Cuiabá,gestantes_risco,1383,1213
2026-06-18,5103403,Cuiabá,pop_rua,420,375
2026-04-28,5108402,Várzea Grande,idosos_sozinhos,3600,709
2026-04-28,5108402,Várzea Grande,acamados,900,199
2026-04-28,5108402,Várzea Grande,gestantes_risco,600,108
2026-04-28,5108402,Várzea Grande,pop_rua,220,48
2026-04-29,5108402,Várzea Grande,idosos_sozinhos,3600,753
2026-04-29,5108402,Várzea Grande,acamados,900,205
2026-04-29,5108402,Várzea Grande,gestantes_risco,600,130
2026-04-29,5108402,Várzea Grande,pop_rua,220,50
2026-04-30,5108402,Várzea Grande,idosos_sozinhos,3600,692
2026-04-30,5108402,Várzea Grande,acamados,900,182
2026-04-30,5108402,Várzea Grande,gestantes_risco,600,126
2026-04-30,5108402,Várzea Grande,pop_rua,220,43
2026-05-01,5108402,Várzea Grande,idosos_sozinhos,3600,719
2026-05-01,5108402,Várzea Grande,acamados,900,175
2026-05-01,5108402,Várzea Grande,gestantes_risco,600,136
2026-05-01,5108402,Várzea Grande,pop_rua,220,41
2026-05-02,5108402,Várzea Grande,idosos_sozinhos,3600,656
2026-05-02,5108402,Várzea Grande,acamados,900,188
2026-05-02,5108402,Várzea Grande,gestantes_risco,600,121
2026-05-02,5108402,Várzea Grande,pop_rua,220,43
2026-05-03,5108402,Várzea Grande,idosos_sozinhos,3600,807
2026-05-03,5108402,Várzea Grande,acamados,900,184
2026-05-03,5108402,Várzea Grande,gestantes_risco,600,119
2026-05-03,5108402,Várzea Grande,pop_rua,220,45
2026-05-04,5108402,Várzea Grande,idosos_sozinhos,3600,775
2026-05-04,5108402,Várzea Grande,acamados,900,171
2026-05-04,5108402,Várzea Grande,gestantes_risco,600,127
2026-05-04,5108402,Várzea Grande,pop_rua,220,48
2026-05-05,5108402,Várzea Grande,idosos_sozinhos,3600,801
2026-05-05,5108402,Várzea Grande,acamados,900,162
2026-05-05,5108402,Várzea Grande,gestantes_risco,600,136
2026-05-05,5108402,Várzea Grande,pop_rua,220,47
2026-05-06,5108402,Várzea Grande,idosos_sozinhos,3600,732
2026-05-06,5108402,Várzea Grande,acamados,900,196
2026-05-06,5108402,Várzea Grande,gestantes_risco,600,134
2026-05-06,5108402,Várzea Grande,pop_rua,220,41
2026-05-07,5108402,Várzea Grande,idosos_sozinhos,3600,728
2026-05-07,5108402,Várzea Grande,acamados,900,174
2026-05-07,5108402,Várzea Grande,gestantes_risco,600,115
2026-05-07,5108402,Várzea Grande,pop_rua,220,45
2026-05-08,5108402,Várzea Grande,idosos_sozinhos,3600,810
2026-05-08,5108402,Várzea Grande,acamados,900,168
2026-05-08,5108402,Várzea Grande,gestantes_risco,600,134
2026-05-08,5108402,Várzea Grande,pop_rua,220,44
2026-05-09,5108402,Várzea Grande,idosos_sozinhos,3600,801
2026-05-09,5108402,Várzea Grande,acamados,900,177
2026-05-09,5108402,Várzea Grande,gestantes_risco,600,128
2026-05-09,5108402,Várzea Grande,pop_rua,220,42
2026-05-10,5108402,Várzea Grande,idosos_sozinhos,3600,765
2026-05-10,5108402,Várzea Grande,acamados,900,191
2026-05-10,5108402,Várzea Grande,gestantes_risco,600,115
2026-05-10,5108402,Várzea Grande,pop_rua,220,39
2026-05-11,5108402,Várzea Grande,idosos_sozinhos,3600,796
2026-05-11,5108402,Várzea Grande,acamados,900,189
2026-05-11,5108402,Várzea Grande,gestantes_risco,600,127
2026-05-11,5108402,Várzea Grande,pop_rua,220,49
2026-05-12,5108402,Várzea Grande,idosos_sozinhos,3600,691
2026-05-12,5108402,Várzea Grande,acamados,900,176
2026-05-12,5108402,Várzea Grande,gestantes_risco,600,116
2026-05-12,5108402,Várzea Grande,pop_rua,220,48
2026-05-13,5108402,Várzea Grande,idosos_sozinhos,3600,792
2026-05-13,5108402,Várzea Grande,acamados,900,164
2026-05-13,5108402,Várzea Grande,gestantes_risco,600,126
2026-05-13,5108402,Várzea Grande,pop_rua,220,50
2026-05-14,5108402,Várzea Grande,idosos_sozinhos,3600,694
2026-05-14,5108402,Várzea Grande,acamados,900,201
2026-05-14,5108402,Várzea Grande,gestantes_risco,600,130
2026-05-14,5108402,Várzea Grande,pop_rua,220,42
2026-05-15,5108402,Várzea Grande,idosos_sozinhos,3600,724
2026-05-15,5108402,Várzea Grande,acamados,900,185
2026-05-15,5108402,Várzea Grande,gestantes_risco,600,129
2026-05-15,5108402,Várzea Grande,pop_rua,220,49
2026-05-16,5108402,Várzea Grande,idosos_sozinhos,3600,759
2026-05-16,5108402,Várzea Grande,acamados,900,205
2026-05-16,5108402,Várzea Grande,gestantes_risco,600,127
2026-05-16,5108402,Várzea Grande,pop_rua,220,40
2026-05-17,5108402,Várzea Grande,idosos_sozinhos,3600,776
2026-05-17,5108402,Várzea Grande,acamados,900,180
2026-05-17,5108402,Várzea Grande,gestantes_risco,600,134
2026-05-17,5108402,Várzea Grande,pop_rua,220,48
2026-05-18,5108402,Várzea Grande,idosos_sozinhos,3600,816
2026-05-18,5108402,Várzea Grande,acamados,900,169
2026-05-18,5108402,Várzea Grande,gestantes_risco,600,112
2026-05-18,5108402,Várzea Grande,pop_rua,220,44
2026-05-19,5108402,Várzea Grande,idosos_sozinhos,3600,731
2026-05-19,5108402,Várzea Grande,acamados,900,167
2026-05-19,5108402,Várzea Grande,gestantes_risco,600,121
2026-05-19,5108402,Várzea Grande,pop_rua,220,44
2026-05-20,5108402,Várzea Grande,idosos_sozinhos,3600,734
2026-05-20,5108402,Várzea Grande,acamados,900,204
2026-05-20,5108402,Várzea Grande,gestantes_risco,600,110
2026-05-20,5108402,Várzea Grande,pop_rua,220,49
2026-05-21,5108402,Várzea Grande,idosos_sozinhos,3600,670
2026-05-21,5108402,Várzea Grande,acamados,900,201
2026-05-21,5108402,Várzea Grande,gestantes_risco,600,112
2026-05-21,5108402,Várzea Grande,pop_rua,220,47
2026-05-22,5108402,Várzea Grande,idosos_sozinhos,3600,686
2026-05-22,5108402,Várzea Grande,acamados,900,203
2026-05-22,5108402,Várzea Grande,gestantes_risco,600,133
2026-05-22,5108402,Várzea Grande,pop_rua,220,42
2026-05-23,5108402,Várzea Grande,idosos_sozinhos,3600,742
2026-05-23,5108402,Várzea Grande,acamados,900,184
2026-05-23,5108402,Várzea Grande,gestantes_risco,600,109
2026-05-23,5108402,Várzea Grande,pop_rua,220,39
2026-05-24,5108402,Várzea Grande,idosos_sozinhos,3600,763
2026-05-24,5108402,Várzea Grande,acamados,900,171
2026-05-24,5108402,Várzea Grande,gestantes_risco,600,110
2026-05-24,5108402,Várzea Grande,pop_rua,220,47
2026-05-25,5108402,Várzea Grande,idosos_sozinhos,3600,669
2026-05-25,5108402,Várzea Grande,acamados,900,181
2026-05-25,5108402,Várzea Grande,gestantes_risco,600,134
2026-05-25,5108402,Várzea Grande,pop_rua,220,47
2026-05-26,5108402,Várzea Grande,idosos_sozinhos,3600,724
2026-05-26,5108402,Várzea Grande,acamados,900,175
2026-05-26,5108402,Várzea Grande,gestantes_risco,600,128
2026-05-26,5108402,Várzea Grande,pop_rua,220,43
2026-05-27,5108402,Várzea Grande,idosos_sozinhos,3600,778
2026-05-27,5108402,Várzea Grande,acamados,900,185
2026-05-27,5108402,Várzea Grande,gestantes_risco,600,125
2026-05-27,5108402,Várzea Grande,pop_rua,220,47
2026-05-28,5108402,Várzea Grande,idosos_sozinhos,3600,734
2026-05-28,5108402,Várzea Grande,acamados,900,203
2026-05-28,5108402,Várzea Grande,gestantes_risco,600,113
2026-05-28,5108402,Várzea Grande,pop_rua,220,47
2026-05-29,5108402,Várzea Grande,idosos_sozinhos,3600,738
2026-05-29,5108402,Várzea Grande,acamados,900,170
2026-05-29,5108402,Várzea Grande,gestantes_risco,600,121
2026-05-29,5108402,Várzea Grande,pop_rua,220,50
2026-05-30,5108402,Várzea Grande,idosos_sozinhos,3600,761
2026-05-30,5108402,Várzea Grande,acamados,900,167
2026-05-30,5108402,Várzea Grande,gestantes_risco,600,122
2026-05-30,5108402,Várzea Grande,pop_rua,220,46
2026-05-31,5108402,Várzea Grande,idosos_sozinhos,3600,808
2026-05-31,5108402,Várzea Grande,acamados,900,186
2026-05-31,5108402,Várzea Grande,gestantes_risco,600,121
2026-05-31,5108402,Várzea Grande,pop_rua,220,50
2026-06-01,5108402,Várzea Grande,idosos_sozinhos,3600,730
2026-06-01,5108402,Várzea Grande,acamados,900,179
2026-06-01,5108402,Várzea Grande,gestantes_risco,600,121
2026-06-01,5108402,Várzea Grande,pop_rua,220,46
2026-06-02,5108402,Várzea Grande,idosos_sozinhos,3600,741
2026-06-02,5108402,Várzea Grande,acamados,900,187
2026-06-02,5108402,Várzea Grande,gestantes_risco,600,121
2026-06-02,5108402,Várzea Grande,pop_rua,220,41
2026-06-03,5108402,Várzea Grande,idosos_sozinhos,3600,730
2026-06-03,5108402,Várzea Grande,acamados,900,178
2026-06-03,5108402,Várzea Grande,gestantes_risco,600,113
2026-06-03,5108402,Várzea Grande,pop_rua,220,50
2026-06-04,5108402,Várzea Grande,idosos_sozinhos,3600,827
2026-06-04,5108402,Várzea Grande,acamados,900,188
2026-06-04,5108402,Várzea Grande,gestantes_risco,600,109
2026-06-04,5108402,Várzea Grande,pop_rua,220,50
2026-06-05,5108402,Várzea Grande,idosos_sozinhos,3600,789
2026-06-05,5108402,Várzea Grande,acamados,900,170
2026-06-05,5108402,Várzea Grande,gestantes_risco,600,130
2026-06-05,5108402,Várzea Grande,pop_rua,220,42
2026-06-06,5108402,Várzea Grande,idosos_sozinhos,3600,727
2026-06-06,5108402,Várzea Grande,acamados,900,173
2026-06-06,5108402,Várzea Grande,gestantes_risco,600,116
2026-06-06,5108402,Várzea Grande,pop_rua,220,50
2026-06-07,5108402,Várzea Grande,idosos_sozinhos,3600,734
2026-06-07,5108402,Várzea Grande,acamados,900,201
2026-06-07,5108402,Várzea Grande,gestantes_risco,600,130
2026-06-07,5108402,Várzea Grande,pop_rua,220,50
2026-06-08,5108402,Várzea Grande,idosos_sozinhos,3600,710
2026-06-08,5108402,Várzea Grande,acamados,900,176
2026-06-08,5108402,Várzea Grande,gestantes_risco,600,137
2026-06-08,5108402,Várzea Grande,pop_rua,220,49
2026-06-09,5108402,Várzea Grande,idosos_sozinhos,3600,818
2026-06-09,5108402,Várzea Grande,acamados,900,187
2026-06-09,5108402,Várzea Grande,gestantes_risco,600,132
2026-06-09,5108402,Várzea Grande,pop_rua,220,43
2026-06-10,5108402,Várzea Grande,idosos_sozinhos,3600,998
2026-06-10,5108402,Várzea Grande,acamados,900,264
2026-06-10,5108402,Várzea Grande,gestantes_risco,600,182
2026-06-10,5108402,Várzea Grande,pop_rua,220,61
2026-06-11,5108402,Várzea Grande,idosos_sozinhos,3600,1192
2026-06-11,5108402,Várzea Grande,acamados,900,317
2026-06-11,5108402,Várzea Grande,gestantes_risco,600,217
2026-06-11,5108402,Várzea Grande,pop_rua,220,83
2026-06-12,5108402,Várzea Grande,idosos_sozinhos,3600,1567
2026-06-12,5108402,Várzea Grande,acamados,900,401
2026-06-12,5108402,Várzea Grande,gestantes_risco,600,246
2026-06-12,5108402,Várzea Grande,pop_rua,220,90
2026-06-13,5108402,Várzea Grande,idosos_sozinhos,3600,1880
2026-06-13,5108402,Várzea Grande,acamados,900,472
2026-06-13,5108402,Várzea Grande,gestantes_risco,600,296
2026-06-13,5108402,Várzea Grande,pop_rua,220,108
2026-06-14,5108402,Várzea Grande,idosos_sozinhos,3600,2033
2026-06-14,5108402,Várzea Grande,acamados,900,517
2026-06-14,5108402,Várzea Grande,gestantes_risco,600,341
2026-06-14,5108402,Várzea Grande,pop_rua,220,125
2026-06-15,5108402,Várzea Grande,idosos_sozinhos,3600,2445
2026-06-15,5108402,Várzea Grande,acamados,900,605
2026-06-15,5108402,Várzea Grande,gestantes_risco,600,406
2026-06-15,5108402,Várzea Grande,pop_rua,220,141
2026-06-16,5108402,Várzea Grande,idosos_sozinhos,3600,2662
2026-06-16,5108402,Várzea Grande,acamados,900,667
2026-06-16,5108402,Várzea Grande,gestantes_risco,600,444
2026-06-16,5108402,Várzea Grande,pop_rua,220,157
2026-06-17,5108402,Várzea Grande,idosos_sozinhos,3600,2939
2026-06-17,5108402,Várzea Grande,acamados,900,703
2026-06-17,5108402,Várzea Grande,gestantes_risco,600,472
2026-06-17,5108402,Várzea Grande,pop_rua,220,182
2026-06-18,5108402,Várzea Grande,idosos_sozinhos,3600,3203
2026-06-18,5108402,Várzea Grande,acamados,900,789
2026-06-18,5108402,Várzea Grande,gestantes_risco,600,536
2026-06-18,5108402,Várzea Grande,pop_rua,220,194
2026-04-28,5107602,Rondonópolis,idosos_sozinhos,3110,605
2026-04-28,5107602,Rondonópolis,acamados,777,162
2026-04-28,5107602,Rondonópolis,gestantes_risco,518,108
2026-04-28,5107602,Rondonópolis,pop_rua,180,40
2026-04-29,5107602,Rondonópolis,idosos_sozinhos,3110,678
2026-04-29,5107602,Rondonópolis,acamados,777,169
2026-04-29,5107602,Rondonópolis,gestantes_risco,518,105
2026-04-29,5107602,Rondonópolis,pop_rua,180,34
2026-04-30,5107602,Rondonópolis,idosos_sozinhos,3110,669
2026-04-30,5107602,Rondonópolis,acamados,777,158
2026-04-30,5107602,Rondonópolis,gestantes_risco,518,102
2026-04-30,5107602,Rondonópolis,pop_rua,180,37
2026-05-01,5107602,Rondonópolis,idosos_sozinhos,3110,672
2026-05-01,5107602,Rondonópolis,acamados,777,154
2026-05-01,5107602,Rondonópolis,gestantes_risco,518,98
2026-05-01,5107602,Rondonópolis,pop_rua,180,32
2026-05-02,5107602,Rondonópolis,idosos_sozinhos,3110,699
2026-05-02,5107602,Rondonópolis,acamados,777,171
2026-05-02,5107602,Rondonópolis,gestantes_risco,518,98
2026-05-02,5107602,Rondonópolis,pop_rua,180,35
2026-05-03,5107602,Rondonópolis,idosos_sozinhos,3110,620
2026-05-03,5107602,Rondonópolis,acamados,777,175
2026-05-03,5107602,Rondonópolis,gestantes_risco,518,98
2026-05-03,5107602,Rondonópolis,pop_rua,180,35
2026-05-04,5107602,Rondonópolis,idosos_sozinhos,3110,633
2026-05-04,5107602,Rondonópolis,acamados,777,159
2026-05-04,5107602,Rondonópolis,gestantes_risco,518,111
2026-05-04,5107602,Rondonópolis,pop_rua,180,41
2026-05-05,5107602,Rondonópolis,idosos_sozinhos,3110,595
2026-05-05,5107602,Rondonópolis,acamados,777,159
2026-05-05,5107602,Rondonópolis,gestantes_risco,518,99
2026-05-05,5107602,Rondonópolis,pop_rua,180,38
2026-05-06,5107602,Rondonópolis,idosos_sozinhos,3110,689
2026-05-06,5107602,Rondonópolis,acamados,777,178
2026-05-06,5107602,Rondonópolis,gestantes_risco,518,101
2026-05-06,5107602,Rondonópolis,pop_rua,180,35
2026-05-07,5107602,Rondonópolis,idosos_sozinhos,3110,649
2026-05-07,5107602,Rondonópolis,acamados,777,173
2026-05-07,5107602,Rondonópolis,gestantes_risco,518,94
2026-05-07,5107602,Rondonópolis,pop_rua,180,36
2026-05-08,5107602,Rondonópolis,idosos_sozinhos,3110,708
2026-05-08,5107602,Rondonópolis,acamados,777,169
2026-05-08,5107602,Rondonópolis,gestantes_risco,518,113
2026-05-08,5107602,Rondonópolis,pop_rua,180,40
2026-05-09,5107602,Rondonópolis,idosos_sozinhos,3110,678
2026-05-09,5107602,Rondonópolis,acamados,777,161
