cod_ibge,domicilios_total_agua,domicilios_rede_agua,domicilios_sem_rede_agua,cobertura_rede_agua_pct,deficit_rede_agua_pct,cobertura_agua_canalizada_pct,deficit_agua_canalizada_pct,domicilios_total_esgoto,domicilios_esgoto_rede,cobertura_esgoto_rede_pct,deficit_esgoto_inadequado_pct,indice_deficit_wash,fonte_wash,atualizado_em
5103106,2276.0,1187.0,514.0,52.15,22.58,98.51,1.14,2276.0,34.0,1.49,91.43,49.3,IBGE_Censo_2022,2026-08-02
5103205,11741.0,8193.0,2920.0,69.78,24.87,99.68,0.1,11741.0,3151.0,26.84,64.99,38.0,IBGE_Censo_2022,2026-08-02
5103254,8837.0,2101.0,6182.0,23.78,69.96,97.56,1.01,8837.0,89.0,1.01,79.86,60.6,IBGE_Censo_2022,2026-08-02
5103304,6428.0,4557.0,1626.0,70.89,25.3,93.08,3.03,6428.0,186.0,2.89,53.61,33.6,IBGE_Censo_2022,2026-08-02
5103353,11908.0,5962.0,4221.0,50.07,35.45,98.28,0.53,11908.0,1176.0,9.88,60.45,39.7,IBGE_Censo_2022,2026-08-02
5103361,1332.0,972.0,306.0,72.97,22.97,95.72,1.13,1332.0,12.0,0.9,85.51,46.7,IBGE_Censo_2022,2026-08-02
5103379,3885.0,264.0,3439.0,6.8,88.52,97.61,0.64,3885.0,35.0,0.9,94.8,73.8,IBGE_Censo_2022,2026-08-02
5103403,232201.0,219010.0,9007.0,94.32,3.88,97.9,0.38,232201.0,165331.0,71.2,10.09,6.0,IBGE_Censo_2022,2026-08-02
5103437,1795.0,490.0,960.0,27.3,53.48,88.3,,1795.0,15.0,0.84,81.0,55.2,IBGE_Censo_2022,2026-08-02
5103452,2480.0,2183.0,277.0,88.02,11.17,98.63,0.12,2480.0,23.0,0.93,94.52,46.5,IBGE_Censo_2022,2026-08-02
5103502,7504.0,6125.0,1237.0,81.62,16.48,99.37,0.19,7504.0,1908.0,25.43,51.35,28.9,IBGE_Censo_2022,2026-08-02
5103601,3026.0,2451.0,556.0,81.0,18.37,99.83,,3026.0,833.0,27.53,55.52,31.5,IBGE_Censo_2022,2026-08-02
5103700,3350.0,2458.0,704.0,73.37,21.01,90.63,2.87,3350.0,32.0,0.96,92.3,49.5,IBGE_Censo_2022,2026-08-02
5103809,1211.0,733.0,333.0,60.53,27.5,99.83,,1211.0,2.0,0.17,98.6,54.1,IBGE_Censo_2022,2026-08-02
5103858,2683.0,1855.0,782.0,69.14,29.15,85.43,1.98,2683.0,34.0,1.27,63.18,39.0,IBGE_Censo_2022,2026-08-02
5103908,1895.0,1022.0,707.0,53.93,37.31,78.68,13.35,1895.0,170.0,8.97,87.07,54.9,IBGE_Censo_2022,2026-08-02
5103957,1113.0,665.0,321.0,59.75,28.84,96.86,0.18,1113.0,7.0,0.63,95.24,53.0,IBGE_Censo_2022,2026-08-02
5104104,10908.0,8082.0,2272.0,74.09,20.83,99.43,0.26,10908.0,1234.0,11.31,49.37,29.6,IBGE_Censo_2022,2026-08-02
5104203,4402.0,3658.0,548.0,83.1,12.45,99.68,0.07,4402.0,2250.0,51.11,24.56,15.4,IBGE_Censo_2022,2026-08-02
5104500,837.0,530.0,261.0,63.32,31.18,99.64,0.12,837.0,21.0,2.51,57.95,37.0,IBGE_Censo_2022,2026-08-02
5104526,2546.0,1820.0,683.0,71.48,26.83,98.66,1.26,2546.0,50.0,1.96,76.32,44.0,IBGE_Censo_2022,2026-08-02
5104542,2552.0,1827.0,680.0,71.59,26.65,99.84,0.04,2552.0,36.0,1.41,85.11,47.6,IBGE_Censo_2022,2026-08-02
5104559,1741.0,1451.0,270.0,83.34,15.51,99.83,0.06,1741.0,54.0,3.1,91.79,46.7,IBGE_Censo_2022,2026-08-02
5104609,4293.0,3151.0,485.0,73.4,11.3,99.84,0.07,4293.0,73.0,1.7,56.3,29.3,IBGE_Censo_2022,2026-08-02
5104807,10288.0,9404.0,719.0,91.41,6.99,99.47,0.16,10288.0,1939.0,18.85,17.19,10.2,IBGE_Censo_2022,2026-08-02
5104906,2548.0,1943.0,530.0,76.26,20.8,94.54,0.47,2548.0,18.0,0.71,94.7,50.0,IBGE_Censo_2022,2026-08-02
5105002,3091.0,1970.0,1019.0,63.73,32.97,99.74,0.06,3091.0,778.0,25.17,59.66,38.4,IBGE_Censo_2022,2026-08-02
5105101,12121.0,8918.0,2905.0,73.57,23.97,98.14,0.17,12121.0,2432.0,20.06,44.85,28.6,IBGE_Censo_2022,2026-08-02
5105150,16708.0,9934.0,5437.0,59.46,32.54,97.22,1.78,16708.0,580.0,3.47,76.07,46.0,IBGE_Censo_2022,2026-08-02
5105176,3619.0,2362.0,1072.0,65.27,29.62,99.23,0.36,3619.0,10.0,0.28,88.89,50.4,IBGE_Censo_2022,2026-08-02
5105200,4326.0,3067.0,1121.0,70.9,25.91,99.82,0.05,4326.0,567.0,13.11,66.44,39.0,IBGE_Censo_2022,2026-08-02
5105234,1723.0,1141.0,366.0,66.22,21.24,99.59,0.06,1723.0,67.0,3.89,88.28,47.2,IBGE_Censo_2022,2026-08-02
5105259,27725.0,26232.0,1096.0,94.61,3.95,99.21,0.03,27725.0,11240.0,40.54,24.72,12.5,IBGE_Censo_2022,2026-08-02
5105309,821.0,634.0,115.0,77.22,14.01,78.2,0.24,821.0,20.0,2.44,95.13,47.8,IBGE_Censo_2022,2026-08-02
5105507,5367.0,1790.0,2688.0,33.35,50.08,96.11,1.3,5367.0,604.0,11.25,61.28,45.4,IBGE_Censo_2022,2026-08-02
5105580,3830.0,2830.0,892.0,73.89,23.29,97.57,0.6,3830.0,103.0,2.69,88.85,48.3,IBGE_Censo_2022,2026-08-02
5105606,6865.0,5086.0,1589.0,74.09,23.15,99.04,0.38,6865.0,620.0,9.03,38.83,25.7,IBGE_Censo_2022,2026-08-02
5105622,9863.0,6533.0,2272.0,66.24,23.04,92.33,3.11,9863.0,2265.0,22.96,59.11,35.3,IBGE_Censo_2022,2026-08-02
5105903,5262.0,4564.0,673.0,86.74,12.79,98.56,0.27,5262.0,96.0,1.82,13.55,10.6,IBGE_Censo_2022,2026-08-02
5106000,2135.0,1753.0,357.0,82.11,16.72,97.52,1.22,2135.0,236.0,11.05,67.87,36.6,IBGE_Censo_2022,2026-08-02
5106109,4598.0,1714.0,2300.0,37.28,50.02,91.95,3.31,4598.0,107.0,2.33,49.15,40.3,IBGE_Censo_2022,2026-08-02
5106158,4935.0,2073.0,2585.0,42.01,52.38,99.19,0.34,4935.0,21.0,0.43,89.34,58.6,IBGE_Censo_2022,2026-08-02
5106174,1141.0,558.0,271.0,48.9,23.75,77.83,13.58,1141.0,28.0,2.45,44.26,30.9,IBGE_Censo_2022,2026-08-02
5106182,2360.0,1264.0,1075.0,53.56,45.55,96.99,1.06,2360.0,73.0,3.09,84.87,54.3,IBGE_Censo_2022,2026-08-02
5106190,1506.0,1012.0,480.0,67.2,31.87,99.2,0.2,1506.0,16.0,1.06,98.74,55.6,IBGE_Censo_2022,2026-08-02
5106208,1540.0,1129.0,322.0,73.31,20.91,98.31,0.45,1540.0,15.0,0.97,98.31,51.6,IBGE_Censo_2022,2026-08-02
5106216,4289.0,2598.0,1589.0,60.57,37.05,99.58,0.07,4289.0,48.0,1.12,96.41,56.4,IBGE_Censo_2022,2026-08-02
5106224,18174.0,16016.0,1707.0,88.13,9.39,99.7,0.02,18174.0,882.0,4.85,56.85,28.9,IBGE_Censo_2022,2026-08-02
5106232,5745.0,5063.0,556.0,88.13,9.68,98.9,0.5,5745.0,42.0,0.73,97.55,47.4,IBGE_Censo_2022,2026-08-02
5106240,3745.0,2740.0,926.0,73.16,24.73,98.96,0.21,3745.0,70.0,1.87,90.07,49.2,IBGE_Censo_2022,2026-08-02
5106257,9282.0,7552.0,1543.0,81.36,16.62,99.15,0.43,9282.0,4659.0,50.19,22.13,15.9,IBGE_Censo_2022,2026-08-02
5106265,2225.0,851.0,1251.0,38.25,56.22,97.71,0.49,2225.0,23.0,1.03,69.62,51.1,IBGE_Censo_2022,2026-08-02
5106273,1255.0,723.0,497.0,57.61,39.6,99.6,0.16,1255.0,15.0,1.2,67.65,44.3,IBGE_Censo_2022,2026-08-02
5106281,2536.0,1649.0,742.0,65.02,29.26,97.99,0.51,2536.0,721.0,28.43,67.63,40.8,IBGE_Censo_2022,2026-08-02
5106299,4080.0,2410.0,1520.0,59.07,37.25,98.46,0.91,4080.0,40.0,0.98,92.97,55.1,IBGE_Censo_2022,2026-08-02
5106307,9142.0,7265.0,1657.0,79.47,18.13,96.78,0.86,9142.0,732.0,8.01,53.4,30.5,IBGE_Censo_2022,2026-08-02
5106315,736.0,164.0,290.0,22.28,39.4,97.28,0.41,736.0,2.0,0.27,85.6,52.4,IBGE_Censo_2022,2026-08-02
5106372,6654.0,5587.0,817.0,83.96,12.28,99.13,0.29,6654.0,1503.0,22.59,62.62,32.5,IBGE_Censo_2022,2026-08-02
5106422,10880.0,7810.0,2492.0,71.78,22.9,97.03,0.52,10880.0,1626.0,14.94,37.24,24.9,IBGE_Censo_2022,2026-08-02
5106455,1120.0,865.0,232.0,77.23,20.71,99.11,0.09,1120.0,7.0,0.62,99.11,51.9,IBGE_Censo_2022,2026-08-02
5106505,10381.0,7454.0,2027.0,71.8,19.53,91.95,0.92,10381.0,254.0,2.45,77.41,41.9,IBGE_Censo_2022,2026-08-02
5106653,2622.0,2184.0,346.0,83.3,13.2,99.47,0.27,2622.0,175.0,6.67,57.82,30.7,IBGE_Censo_2022,2026-08-02
5106703,834.0,717.0,117.0,85.97,14.03,99.52,,834.0,5.0,0.6,98.92,49.5,IBGE_Censo_2022,2026-08-02
5106752,18304.0,13984.0,3323.0,76.4,18.15,99.36,0.19,18304.0,9286.0,50.73,36.66,22.9,IBGE_Censo_2022,2026-08-02
5106778,4070.0,2236.0,1129.0,54.94,27.74,97.79,0.61,4070.0,326.0,8.01,87.0,49.0,IBGE_Censo_2022,2026-08-02
5106802,2049.0,1570.0,436.0,76.62,21.28,99.71,0.1,2049.0,58.0,2.83,42.22,26.5,IBGE_Censo_2022,2026-08-02
5106828,3457.0,2055.0,1231.0,59.44,35.61,98.41,0.49,3457.0,562.0,16.26,62.13,40.5,IBGE_Censo_2022,2026-08-02
5106851,1179.0,647.0,215.0,54.88,18.24,94.06,1.02,1179.0,85.0,7.21,79.13,42.2,IBGE_Censo_2022,2026-08-02
5107008,8326.0,4283.0,3507.0,51.44,42.12,95.05,1.04,8326.0,1337.0,16.06,72.27,47.5,IBGE_Censo_2022,2026-08-02
5107040,28967.0,24244.0,2055.0,83.7,7.09,99.62,0.03,28967.0,20463.0,70.64,14.74,9.1,IBGE_Censo_2022,2026-08-02
5107065,8459.0,7115.0,1093.0,84.11,12.92,95.54,0.31,8459.0,255.0,3.01,79.0,40.1,IBGE_Censo_2022,2026-08-02
5107107,6780.0,5218.0,1374.0,76.96,20.27,99.01,0.15,6780.0,882.0,13.01,57.61,33.0,IBGE_Censo_2022,2026-08-02
5107156,834.0,653.0,109.0,78.3,13.07,99.28,0.24,834.0,10.0,1.2,87.17,43.8,IBGE_Censo_2022,2026-08-02
5107180,3504.0,2329.0,555.0,66.47,15.84,94.89,0.57,3504.0,140.0,4.0,89.87,46.1,IBGE_Censo_2022,2026-08-02
5107198,1010.0,885.0,123.0,87.62,12.18,99.7,,1010.0,395.0,39.11,60.59,31.6,IBGE_Censo_2022,2026-08-02
5107206,1744.0,1456.0,272.0,83.49,15.6,99.03,,1744.0,227.0,13.02,86.24,44.3,IBGE_Censo_2022,2026-08-02
5107248,1731.0,1311.0,352.0,75.74,20.34,99.42,0.29,1731.0,55.0,3.18,50.2,29.8,IBGE_Censo_2022,2026-08-02
5107263,957.0,611.0,302.0,63.85,31.56,99.16,0.1,957.0,54.0,5.64,63.95,39.8,IBGE_Censo_2022,2026-08-02
5107297,1141.0,508.0,115.0,44.52,10.08,99.39,0.35,1141.0,1.0,0.09,99.3,48.3,IBGE_Censo_2022,2026-08-02
5107305,5189.0,4368.0,690.0,84.18,13.3,99.69,0.08,5189.0,75.0,1.45,81.08,41.2,IBGE_Censo_2022,2026-08-02
5107354,1935.0,1588.0,230.0,82.07,11.89,95.04,0.41,1935.0,97.0,5.01,88.68,44.1,IBGE_Censo_2022,2026-08-02
5107404,1515.0,1396.0,98.0,92.15,6.47,99.41,0.26,1515.0,102.0,6.73,81.72,39.1,IBGE_Censo_2022,2026-08-02
5107578,1074.0,304.0,691.0,28.31,64.34,86.96,0.56,1074.0,2.0,0.19,94.13,65.0,IBGE_Censo_2022,2026-08-02
5107602,86838.0,81537.0,2264.0,93.9,2.61,99.52,0.07,86838.0,74974.0,86.34,8.02,4.5,IBGE_Censo_2022,2026-08-02
5107701,5523.0,3287.0,1788.0,59.51,32.37,95.89,0.47,5523.0,842.0,15.25,70.16,43.0,IBGE_Censo_2022,2026-08-02
5107743,890.0,617.0,256.0,69.33,28.76,95.51,0.79,890.0,40.0,4.49,81.8,47.0,IBGE_Censo_2022,2026-08-02
5107750,1385.0,792.0,533.0,57.18,38.48,98.48,0.07,1385.0,14.0,1.01,94.95,56.2,IBGE_Censo_2022,2026-08-02
5107768,1050.0,682.0,216.0,64.95,20.57,99.52,0.48,1050.0,226.0,21.52,31.05,21.3,IBGE_Censo_2022,2026-08-02
5107776,2338.0,957.0,1308.0,40.93,55.95,81.61,1.92,2338.0,4.0,0.17,94.44,62.5,IBGE_Censo_2022,2026-08-02
5107792,1292.0,827.0,380.0,64.01,29.41,91.87,0.62,1292.0,8.0,0.62,84.29,48.3,IBGE_Censo_2022,2026-08-02
5107800,5124.0,2615.0,1618.0,51.03,31.58,90.87,4.04,5124.0,189.0,3.69,67.76,42.4,IBGE_Censo_2022,2026-08-02
5107859,4639.0,2702.0,1676.0,58.25,36.13,90.64,1.29,4639.0,94.0,2.03,83.85,50.6,IBGE_Censo_2022,2026-08-02
5107875,9291.0,8529.0,454.0,91.8,4.89,99.42,0.26,9291.0,761.0,8.19,20.13,10.8,IBGE_Censo_2022,2026-08-02
5107883,641.0,68.0,316.0,10.61,49.3,88.14,0.16,641.0,,,99.06,61.9,IBGE_Censo_2022,2026-08-02
5107909,68530.0,61110.0,4384.0,89.17,6.4,99.59,0.11,68530.0,12632.0,18.43,53.8,26.5,IBGE_Censo_2022,2026-08-02
5107925,37031.0,34169.0,2222.0,92.27,6.0,98.72,0.02,37031.0,7419.0,20.03,44.35,22.1,IBGE_Censo_2022,2026-08-02
5107941,3300.0,2203.0,995.0,66.76,30.15,99.24,0.18,3300.0,34.0,1.03,85.09,48.9,IBGE_Censo_2022,2026-08-02
5107958,38055.0,34024.0,3205.0,89.41,8.42,98.71,0.25,38055.0,7961.0,20.92,51.76,26.3,IBGE_Censo_2022,2026-08-02
5108006,4598.0,3654.0,898.0,79.47,19.53,99.89,0.02,4598.0,91.0,1.98,79.36,42.6,IBGE_Censo_2022,2026-08-02
5108055,3845.0,2096.0,1528.0,54.51,39.74,98.86,0.08,3845.0,33.0,0.86,84.53,52.0,IBGE_Censo_2022,2026-08-02
5108105,1155.0,846.0,195.0,73.25,16.88,98.44,0.52,1155.0,167.0,14.46,54.55,30.6,IBGE_Censo_2022,2026-08-02
5108204,1702.0,1265.0,432.0,74.32,25.38,99.47,0.06,1702.0,309.0,18.16,75.5,42.9,IBGE_Censo_2022,2026-08-02
5108303,1320.0,819.0,460.0,62.05,34.85,98.11,0.76,1320.0,3.0,0.23,46.97,33.5,IBGE_Censo_2022,2026-08-02
5108352,1098.0,514.0,442.0,46.81,40.26,99.27,0.09,1098.0,222.0,20.22,76.96,48.7,IBGE_Censo_2022,2026-08-02
5108402,103287.0,85981.0,9833.0,83.24,9.52,86.44,2.23,103287.0,38506.0,37.28,27.58,16.2,IBGE_Censo_2022,2026-08-02
5108501,4284.0,3310.0,842.0,77.26,19.65,97.41,0.12,4284.0,53.0,1.24,83.54,44.5,IBGE_Censo_2022,2026-08-02
5108600,6881.0,1495.0,2657.0,21.73,38.61,98.29,0.51,6881.0,174.0,2.53,75.99,47.8,IBGE_Censo_2022,2026-08-02
5108808,1670.0,1046.0,465.0,62.63,27.84,96.77,0.3,1670.0,324.0,19.4,36.65,26.3,IBGE_Censo_2022,2026-08-02
5108857,1241.0,930.0,261.0,74.94,21.03,99.44,0.08,1241.0,15.0,1.21,27.48,19.7,IBGE_Censo_2022,2026-08-02
5108907,1925.0,1402.0,496.0,72.83,25.77,99.69,,1925.0,9.0,0.47,52.83,32.9,IBGE_Censo_2022,2026-08-02
5108956,2987.0,465.0,1629.0,15.57,54.54,99.63,0.17,2987.0,9.0,0.3,98.46,63.4,IBGE_Censo_2022,2026-08-02
5101837,,,,71.78,21.82,98.63,0.345,,,3.58,74.58,42.2,proxy_mediana_MT_sem_censo2022,2026-08-02
