data,cod_ibge,municipio,item,estoque_total,consumo_medio_diario
2026-06-12,5103403,Cuiabá,Equipo macro,939,414
2026-06-12,5103403,Cuiabá,Copo descartável,0,2970
2026-06-13,5103403,Cuiabá,SRO,696,660
2026-06-13,5103403,Cuiabá,"Soro fisiológico 0,9%",514,552
2026-06-13,5103403,Cuiabá,Equipo macro,633,444
2026-06-13,5103403,Cuiabá,Copo descartável,0,3000
2026-06-14,5103403,Cuiabá,SRO,209,690
2026-06-14,5103403,Cuiabá,"Soro fisiológico 0,9%",177,582
2026-06-14,5103403,Cuiabá,Equipo macro,291,474
2026-06-14,5103403,Cuiabá,Copo descartável,0,3030
2026-06-15,5103403,Cuiabá,SRO,0,720
2026-06-15,5103403,Cuiabá,"Soro fisiológico 0,9%",0,612
2026-06-15,5103403,Cuiabá,Equipo macro,30,504
2026-06-15,5103403,Cuiabá,Copo descartável,0,3060
2026-06-16,5103403,Cuiabá,SRO,0,750
2026-06-16,5103403,Cuiabá,"Soro fisiológico 0,9%",0,642
2026-06-16,5103403,Cuiabá,Equipo macro,0,534
2026-06-16,5103403,Cuiabá,Copo descartável,0,3090
2026-06-17,5103403,Cuiabá,SRO,0,780
2026-06-17,5103403,Cuiabá,"Soro fisiológico 0,9%",0,672
2026-06-17,5103403,Cuiabá,Equipo macro,0,564
2026-06-17,5103403,Cuiabá,Copo descartável,0,3120
2026-06-18,5103403,Cuiabá,SRO,0,810
2026-06-18,5103403,Cuiabá,"Soro fisiológico 0,9%",0,702
2026-06-18,5103403,Cuiabá,Equipo macro,0,594
2026-06-18,5103403,Cuiabá,Copo descartável,0,3150
2026-04-28,5108402,Várzea Grande,SRO,4754,409
2026-04-28,5108402,Várzea Grande,"Soro fisiológico 0,9%",3784,327
2026-04-28,5108402,Várzea Grande,Equipo macro,2972,245
2026-04-28,5108402,Várzea Grande,Copo descartável,20467,2182
2026-04-29,5108402,Várzea Grande,SRO,4713,409
2026-04-29,5108402,Várzea Grande,"Soro fisiológico 0,9%",3721,327
2026-04-29,5108402,Várzea Grande,Equipo macro,2974,245
2026-04-29,5108402,Várzea Grande,Copo descartável,20128,2182
2026-04-30,5108402,Várzea Grande,SRO,4691,409
2026-04-30,5108402,Várzea Grande,"Soro fisiológico 0,9%",3694,327
2026-04-30,5108402,Várzea Grande,Equipo macro,2897,245
2026-04-30,5108402,Várzea Grande,Copo descartável,19755,2182
2026-05-01,5108402,Várzea Grande,SRO,4604,409
2026-05-01,5108402,Várzea Grande,"Soro fisiológico 0,9%",3648,327
2026-05-01,5108402,Várzea Grande,Equipo macro,2901,245
2026-05-01,5108402,Várzea Grande,Copo descartável,19384,2182
2026-05-02,5108402,Várzea Grande,SRO,4543,409
2026-05-02,5108402,Várzea Grande,"Soro fisiológico 0,9%",3659,327
2026-05-02,5108402,Várzea Grande,Equipo macro,2809,245
2026-05-02,5108402,Várzea Grande,Copo descartável,19045,2182
2026-05-03,5108402,Várzea Grande,SRO,4442,409
2026-05-03,5108402,Várzea Grande,"Soro fisiológico 0,9%",3523,327
2026-05-03,5108402,Várzea Grande,Equipo macro,2790,245
2026-05-03,5108402,Várzea Grande,Copo descartável,18759,2182
2026-05-04,5108402,Várzea Grande,SRO,4400,409
2026-05-04,5108402,Várzea Grande,"Soro fisiológico 0,9%",3522,327
2026-05-04,5108402,Várzea Grande,Equipo macro,2730,245
2026-05-04,5108402,Várzea Grande,Copo descartável,18363,2182
2026-05-05,5108402,Várzea Grande,SRO,4266,409
2026-05-05,5108402,Várzea Grande,"Soro fisiológico 0,9%",3486,327
2026-05-05,5108402,Várzea Grande,Equipo macro,2699,245
2026-05-05,5108402,Várzea Grande,Copo descartável,18011,2182
2026-05-06,5108402,Várzea Grande,SRO,4231,409
2026-05-06,5108402,Várzea Grande,"Soro fisiológico 0,9%",3389,327
2026-05-06,5108402,Várzea Grande,Equipo macro,2649,245
2026-05-06,5108402,Várzea Grande,Copo descartável,17678,2182
2026-05-07,5108402,Várzea Grande,SRO,4188,409
2026-05-07,5108402,Várzea Grande,"Soro fisiológico 0,9%",3386,327
2026-05-07,5108402,Várzea Grande,Equipo macro,2642,245
2026-05-07,5108402,Várzea Grande,Copo descartável,17306,2182
2026-05-08,5108402,Várzea Grande,SRO,4121,409
2026-05-08,5108402,Várzea Grande,"Soro fisiológico 0,9%",3258,327
2026-05-08,5108402,Várzea Grande,Equipo macro,2590,245
2026-05-08,5108402,Várzea Grande,Copo descartável,16930,2182
2026-05-09,5108402,Várzea Grande,SRO,4016,409
2026-05-09,5108402,Várzea Grande,"Soro fisiológico 0,9%",3275,327
2026-05-09,5108402,Várzea Grande,Equipo macro,2616,245
2026-05-09,5108402,Várzea Grande,Copo descartável,16642,2182
2026-05-10,5108402,Várzea Grande,SRO,4021,409
2026-05-10,5108402,Várzea Grande,"Soro fisiológico 0,9%",3153,327
2026-05-10,5108402,Várzea Grande,Equipo macro,2483,245
2026-05-10,5108402,Várzea Grande,Copo descartável,16302,2182
2026-05-11,5108402,Várzea Grande,SRO,3884,409
2026-05-11,5108402,Várzea Grande,"Soro fisiológico 0,9%",3125,327
2026-05-11,5108402,Várzea Grande,Equipo macro,2526,245
2026-05-11,5108402,Várzea Grande,Copo descartável,15969,2182
2026-05-12,5108402,Várzea Grande,SRO,3866,409
2026-05-12,5108402,Várzea Grande,"Soro fisiológico 0,9%",3063,327
2026-05-12,5108402,Várzea Grande,Equipo macro,2472,245
2026-05-12,5108402,Várzea Grande,Copo descartável,15603,2182
2026-05-13,5108402,Várzea Grande,SRO,3825,409
2026-05-13,5108402,Várzea Grande,"Soro fisiológico 0,9%",3070,327
2026-05-13,5108402,Várzea Grande,Equipo macro,2371,245
2026-05-13,5108402,Várzea Grande,Copo descartável,15252,2182
2026-05-14,5108402,Várzea Grande,SRO,3697,409
2026-05-14,5108402,Várzea Grande,"Soro fisiológico 0,9%",3004,327
2026-05-14,5108402,Várzea Grande,Equipo macro,2386,245
2026-05-14,5108402,Várzea Grande,Copo descartável,14905,2182
2026-05-15,5108402,Várzea Grande,SRO,3640,409
2026-05-15,5108402,Várzea Grande,"Soro fisiológico 0,9%",2918,327
2026-05-15,5108402,Várzea Grande,Equipo macro,2348,245
2026-05-15,5108402,Várzea Grande,Copo descartável,14505,2182
2026-05-16,5108402,Várzea Grande,SRO,3581,409
2026-05-16,5108402,Várzea Grande,"Soro fisiológico 0,9%",2897,327
2026-05-16,5108402,Várzea Grande,Equipo macro,2333,245
2026-05-16,5108402,Várzea Grande,Copo descartável,14125,2182
2026-05-17,5108402,Várzea Grande,SRO,3566,409
2026-05-17,5108402,Várzea Grande,"Soro fisiológico 0,9%",2786,327
2026-05-17,5108402,Várzea Grande,Equipo macro,2221,245
2026-05-17,5108402,Várzea Grande,Copo descartável,13833,2182
2026-05-18,5108402,Várzea Grande,SRO,3474,409
2026-05-18,5108402,Várzea Grande,"Soro fisiológico 0,9%",2730,327
2026-05-18,5108402,Várzea Grande,Equipo macro,2182,245
2026-05-18,5108402,Várzea Grande,Copo descartável,13482,2182
2026-05-19,5108402,Várzea Grande,SRO,3411,409
2026-05-19,5108402,Várzea Grande,"Soro fisiológico 0,9%",2758,327
2026-05-19,5108402,Várzea Grande,Equipo macro,2138,245
2026-05-19,5108402,Várzea Grande,Copo descartável,13118,2182
2026-05-20,5108402,Várzea Grande,SRO,3332,409
2026-05-20,5108402,Várzea Grande,"Soro fisiológico 0,9%",2698,327
2026-05-20,5108402,Várzea Grande,Equipo macro,2150,245
2026-05-20,5108402,Várzea Grande,Copo descartável,12770,2182
2026-05-21,5108402,Várzea Grande,SRO,3242,409
2026-05-21,5108402,Várzea Grande,"Soro fisiológico 0,9%",2641,327
2026-05-21,5108402,Várzea Grande,Equipo macro,2047,245
2026-05-21,5108402,Várzea Grande,Copo descartável,12453,2182
2026-05-22,5108402,Várzea Grande,SRO,3164,409
2026-05-22,5108402,Várzea Grande,"Soro fisiológico 0,9%",2599,327
2026-05-22,5108402,Várzea Grande,Equipo macro,2064,245
2026-05-22,5108402,Várzea Grande,Copo descartável,12065,2182
2026-05-23,5108402,Várzea Grande,SRO,3121,409
2026-05-23,5108402,Várzea Grande,"Soro fisiológico 0,9%",2521,327
2026-05-23,5108402,Várzea Grande,Equipo macro,2040,245
2026-05-23,5108402,Várzea Grande,Copo descartável,11712,2182
2026-05-24,5108402,Várzea Grande,SRO,3022,409
2026-05-24,5108402,Várzea Grande,"Soro fisiológico 0,9%",2474,327
2026-05-24,5108402,Várzea Grande,Equipo macro,1929,245
2026-05-24,5108402,Várzea Grande,Copo descartável,11415,2182
2026-05-25,5108402,Várzea Grande,SRO,2980,409
2026-05-25,5108402,Várzea Grande,"Soro fisiológico 0,9%",2357,327
2026-05-25,5108402,Várzea Grande,Equipo macro,1986,245
2026-05-25,5108402,Várzea Grande,Copo descartável,11049,2182
2026-05-26,5108402,Várzea Grande,SRO,2966,409
2026-05-26,5108402,Várzea Grande,"Soro fisiológico 0,9%",2395,327
2026-05-26,5108402,Várzea Grande,Equipo macro,1870,245
2026-05-26,5108402,Várzea Grande,Copo descartável,10653,2182
2026-05-27,5108402,Várzea Grande,SRO,2897,409
2026-05-27,5108402,Várzea Grande,"Soro fisiológico 0,9%",2331,327
2026-05-27,5108402,Várzea Grande,Equipo macro,1816,245
2026-05-27,5108402,Várzea Grande,Copo descartável,10334,2182
2026-05-28,5108402,Várzea Grande,SRO,2792,409
2026-05-28,5108402,Várzea Grande,"Soro fisiológico 0,9%",2209,327
2026-05-28,5108402,Várzea Grande,Equipo macro,1849,245
2026-05-28,5108402,Várzea Grande,Copo descartável,10013,2182
2026-05-29,5108402,Várzea Grande,SRO,2791,409
2026-05-29,5108402,Várzea Grande,"Soro fisiológico 0,9%",2194,327
2026-05-29,5108402,Várzea Grande,Equipo macro,1774,245
2026-05-29,5108402,Várzea Grande,Copo descartável,9656,2182
2026-05-30,5108402,Várzea Grande,SRO,2723,409
2026-05-30,5108402,Várzea Grande,"Soro fisiológico 0,9%",2130,327
2026-05-30,5108402,Várzea Grande,Equipo macro,1697,245
2026-05-30,5108402,Várzea Grande,Copo descartável,9255,2182
2026-05-31,5108402,Várzea Grande,SRO,2651,409
2026-05-31,5108402,Várzea Grande,"Soro fisiológico 0,9%",2112,327
2026-05-31,5108402,Várzea Grande,Equipo macro,1685,245
2026-05-31,5108402,Várzea Grande,Copo descartável,8945,2182
2026-06-01,5108402,Várzea Grande,SRO,2550,409
2026-06-01,5108402,Várzea Grande,"Soro fisiológico 0,9%",2020,327
2026-06-01,5108402,Várzea Grande,Equipo macro,1656,245
2026-06-01,5108402,Várzea Grande,Copo descartável,8553,2182
2026-06-02,5108402,Várzea Grande,SRO,2485,409
2026-06-02,5108402,Várzea Grande,"Soro fisiológico 0,9%",2016,327
2026-06-02,5108402,Várzea Grande,Equipo macro,1615,245
2026-06-02,5108402,Várzea Grande,Copo descartável,8259,2182
2026-06-03,5108402,Várzea Grande,SRO,2423,409
2026-06-03,5108402,Várzea Grande,"Soro fisiológico 0,9%",1899,327
2026-06-03,5108402,Várzea Grande,Equipo macro,1603,245
2026-06-03,5108402,Várzea Grande,Copo descartável,7840,2182
2026-06-04,5108402,Várzea Grande,SRO,2322,409
2026-06-04,5108402,Várzea Grande,"Soro fisiológico 0,9%",1861,327
2026-06-04,5108402,Várzea Grande,Equipo macro,1567,245
2026-06-04,5108402,Várzea Grande,Copo descartável,7539,2182
2026-06-05,5108402,Várzea Grande,SRO,2276,409
2026-06-05,5108402,Várzea Grande,"Soro fisiológico 0,9%",1831,327
2026-06-05,5108402,Várzea Grande,Equipo macro,1480,245
2026-06-05,5108402,Várzea Grande,Copo descartável,7192,2182
2026-06-06,5108402,Várzea Grande,SRO,2175,409
2026-06-06,5108402,Várzea Grande,"Soro fisiológico 0,9%",1727,327
2026-06-06,5108402,Várzea Grande,Equipo macro,1488,245
2026-06-06,5108402,Várzea Grande,Copo descartável,6792,2182
2026-06-07,5108402,Várzea Grande,SRO,2151,409
2026-06-07,5108402,Várzea Grande,"Soro fisiológico 0,9%",1748,327
2026-06-07,5108402,Várzea Grande,Equipo macro,1448,245
2026-06-07,5108402,Várzea Grande,Copo descartável,6445,2182
2026-06-08,5108402,Várzea Grande,SRO,2124,409
2026-06-08,5108402,Várzea Grande,"Soro fisiológico 0,9%",1636,327
2026-06-08,5108402,Várzea Grande,Equipo macro,1407,245
2026-06-08,5108402,Várzea Grande,Copo descartável,6191,2182
2026-06-09,5108402,Várzea Grande,SRO,2044,409
2026-06-09,5108402,Várzea Grande,"Soro fisiológico 0,9%",1634,327
2026-06-09,5108402,Várzea Grande,Equipo macro,1301,245
2026-06-09,5108402,Várzea Grande,Copo descartável,5744,2182
2026-06-10,5108402,Várzea Grande,SRO,1690,439
2026-06-10,5108402,Várzea Grande,"Soro fisiológico 0,9%",1302,357
2026-06-10,5108402,Várzea Grande,Equipo macro,1077,275
2026-06-10,5108402,Várzea Grande,Copo descartável,3758,2212
2026-06-11,5108402,Várzea Grande,SRO,1271,469
2026-06-11,5108402,Várzea Grande,"Soro fisiológico 0,9%",997,387
2026-06-11,5108402,Várzea Grande,Equipo macro,912,305
2026-06-11,5108402,Várzea Grande,Copo descartável,1840,2242
2026-06-12,5108402,Várzea Grande,SRO,876,499
2026-06-12,5108402,Várzea Grande,"Soro fisiológico 0,9%",744,417
2026-06-12,5108402,Várzea Grande,Equipo macro,680,335
2026-06-12,5108402,Várzea Grande,Copo descartável,0,2272
2026-06-13,5108402,Várzea Grande,SRO,578,529
2026-06-13,5108402,Várzea Grande,"Soro fisiológico 0,9%",438,447
2026-06-13,5108402,Várzea Grande,Equipo macro,487,365
2026-06-13,5108402,Várzea Grande,Copo descartável,0,2302
2026-06-14,5108402,Várzea Grande,SRO,212,559
2026-06-14,5108402,Várzea Grande,"Soro fisiológico 0,9%",171,477
2026-06-14,5108402,Várzea Grande,Equipo macro,266,395
2026-06-14,5108402,Várzea Grande,Copo descartável,0,2332
2026-06-15,5108402,Várzea Grande,SRO,0,589
2026-06-15,5108402,Várzea Grande,"Soro fisiológico 0,9%",0,507
2026-06-15,5108402,Várzea Grande,Equipo macro,56,425
2026-06-15,5108402,Várzea Grande,Copo descartável,0,2362
2026-06-16,5108402,Várzea Grande,SRO,0,619
2026-06-16,5108402,Várzea Grande,"Soro fisiológico 0,9%",0,537
2026-06-16,5108402,Várzea Grande,Equipo macro,0,455
2026-06-16,5108402,Várzea Grande,Copo descartável,0,2392
2026-06-17,5108402,Várzea Grande,SRO,0,649
2026-06-17,5108402,Várzea Grande,"Soro fisiológico 0,9%",0,567
2026-06-17,5108402,Várzea Grande,Equipo macro,0,485
2026-06-17,5108402,Várzea Grande,Copo descartável,0,2422
2026-06-18,5108402,Várzea Grande,SRO,0,679
2026-06-18,5108402,Várzea Grande,"Soro fisiológico 0,9%",0,597
2026-06-18,5108402,Várzea Grande,Equipo macro,0,515
2026-06-18,5108402,Várzea Grande,Copo descartável,0,2452
2026-04-28,5107602,Rondonópolis,SRO,4099,353
2026-04-28,5107602,Rondonópolis,"Soro fisiológico 0,9%",3338,282
2026-04-28,5107602,Rondonópolis,Equipo macro,2616,212
2026-04-28,5107602,Rondonópolis,Copo descartável,17679,1884
2026-04-29,5107602,Rondonópolis,SRO,4064,353
2026-04-29,5107602,Rondonópolis,"Soro fisiológico 0,9%",3285,282
2026-04-29,5107602,Rondonópolis,Equipo macro,2557,212
2026-04-29,5107602,Rondonópolis,Copo descartável,17339,1884
2026-04-30,5107602,Rondonópolis,SRO,3974,353
2026-04-30,5107602,Rondonópolis,"Soro fisiológico 0,9%",3204,282
2026-04-30,5107602,Rondonópolis,Equipo macro,2507,212
2026-04-30,5107602,Rondonópolis,Copo descartável,17025,1884
2026-05-01,5107602,Rondonópolis,SRO,3947,353
2026-05-01,5107602,Rondonópolis,"Soro fisiológico 0,9%",3201,282
2026-05-01,5107602,Rondonópolis,Equipo macro,2447,212
2026-05-01,5107602,Rondonópolis,Copo descartável,16789,1884
2026-05-02,5107602,Rondonópolis,SRO,3917,353
2026-05-02,5107602,Rondonópolis,"Soro fisiológico 0,9%",3074,282
2026-05-02,5107602,Rondonópolis,Equipo macro,2462,212
2026-05-02,5107602,Rondonópolis,Copo descartável,16414,1884
2026-05-03,5107602,Rondonópolis,SRO,3889,353
